,odpts
0,POINT (-85.05662358596015 41.01191384894564)
1,POINT (-85.3070715007614 41.18722911272899)
2,POINT (-85.2640529131993 41.05954988388413)
0,POINT (-85.10378818730695 41.12701189491809)
1,POINT (-84.93046359372208 41.008136795309476)
0,POINT (-85.12430944883806 41.220523270337175)
1,POINT (-84.86081185767218 41.259547074680896)
0,POINT (-85.03009029447077 40.95859721330881)
1,POINT (-85.24979347645879 41.13434218935587)
0,POINT (-84.88686499495526 41.053681449368504)
0,POINT (-85.31939436974129 41.15961532540084)
1,POINT (-84.89710228541503 41.097559166782)
2,POINT (-85.24165764294536 41.08348243748405)
0,POINT (-84.81517970592402 41.26715366941233)
0,POINT (-84.93058462895326 41.01922515037373)
1,POINT (-85.11156581565892 41.158131972880035)
2,POINT (-85.1197248474028 41.24077188626928)
0,POINT (-85.15112739300807 41.028657796033585)
1,POINT (-85.3109288623458 41.07554998906252)
2,POINT (-85.16664872837472 41.04688037520361)
0,POINT (-84.93915107076337 40.93788453204136)
1,POINT (-85.29066241071273 40.96921138171745)
2,POINT (-84.81194806766032 41.03226456860573)
3,POINT (-85.04761531981512 41.0678568885143)
0,POINT (-85.20677696685816 41.188702381858285)
1,POINT (-85.32942269806185 41.066609321375246)
2,POINT (-85.2920573069201 41.19301208830072)
0,POINT (-84.86665489065287 41.244488665319814)
1,POINT (-84.99824395985601 41.12288725758667)
2,POINT (-84.94110974793809 40.99563239264895)
3,POINT (-84.87757829754153 41.16529957418407)
0,POINT (-84.85090341836846 41.01741068355343)
1,POINT (-85.17679875316134 41.10838828280193)
2,POINT (-84.9914623624374 41.11383851675337)
3,POINT (-85.21874938398261 41.20240787662853)
0,POINT (-85.25978349679114 41.01859625141132)
1,POINT (-85.18746319498031 41.04373093159225)
2,POINT (-85.2885264441054 40.92150242616922)
3,POINT (-85.28655921725509 41.195019072110654)
0,POINT (-85.0775505249901 40.97294738801124)
0,POINT (-84.95762389875175 41.01308060372522)
1,POINT (-85.06816446048578 41.21272506574911)
2,POINT (-85.08801650182095 40.97832968299373)
3,POINT (-85.16799983172574 41.152640969328985)
0,POINT (-85.09517409499132 41.212703440745216)
1,POINT (-84.87700351086978 41.024500122396624)
2,POINT (-84.83197533440342 41.05374305437663)
3,POINT (-84.92526541138379 41.14477433473771)
0,POINT (-85.1526939791035 41.162215075196364)
0,POINT (-84.98188323836585 41.17796710070543)
1,POINT (-85.22834986209904 40.9995509467101)
0,POINT (-85.1082718690458 40.97247088328141)
1,POINT (-84.82293129991177 40.94330041037411)
0,POINT (-85.05705876946348 41.21784133543651)
1,POINT (-85.08036833670033 41.01498317795775)
2,POINT (-84.82418359384737 40.98808315893535)
0,POINT (-85.29197546352886 40.97211368595034)
1,POINT (-84.83599236089528 41.08643663439996)
0,POINT (-84.9871784685331 40.98944725428706)
1,POINT (-85.24222596615218 41.234435608550356)
2,POINT (-85.12357101954815 41.051784883929685)
