WKT,Fire_Station_ID_Hazus,Facility_Name,Address,City,ZIP_Code,Contact_Person,Telephone_Number,Year_Facility_was_Built,Facility_Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (-86.6627708230502 39.3494991767626)",IN793245,Gosport Station 19,2 N 3RD St,Gosport,47433, , ,,900, ,{1CBAC83B-C685-48D7-9568-59D64B9FCC7C},-86.6627708230502,39.3494991767626
"POINT (-85.0818064944894 41.5752997383732)",IN000001,Pleasant Lake Fire Dept,1 Main,Pleasant Lake,46779-0000, , ,,618, ,{F58BC686-05B4-412B-B4F1-535A1263FE0F},-85.0818064944894,41.5752997383732
"POINT (-85.3865764632004 40.1945294498789)",IN000005,Fire Dept Dispatch,100 W Washington St,Muncie,47305-1752, , ,,618, ,{E61576D7-B1E0-4FA4-99B8-8025D543191D},-85.3865764632004,40.1945294498789
"POINT (-85.13543627715 41.3494397392175)",IN000010,Garrett Fire Dept,100 E Keyser St,Garrett,46738-1550, , ,,618, ,{F03F1B88-5C04-4717-B915-438B6AEC735F},-85.13543627715,41.3494397392175
"POINT (-84.9792565541651 40.4334491687756)",IN000011,Portland Fire Dept,100 N Commerce St,Portland,47371-2117, , ,,618, ,{46672D7B-2B7A-4BEC-8C3B-7DCEA6CE0767},-84.9792565541651,40.4334491687756
"POINT (-87.2301714778722 39.1934982970188)",CO759286,LEWIS TWP VOLUNTEER FIRE DEPARTMENT,6440 W PUBLIC RD,COALMONT,47845, , ,,618,CountyApproved,{712F40F3-2B45-4AF4-8ADA-EA29427BBA2D},-87.2301714778722,39.1934982970188
"POINT (-87.2074418405554 39.3816084845449)",CO759285,CLAY COUNTY PERRY TWP VOLUNTEER FIRE DEP,500 S CENTER ST,CORY,47846, , ,,618,CountyApproved,{3FF30DB2-F16C-4654-9662-D455C7F08BE5},-87.2074418405554,39.3816084845449
"POINT (-87.1199615810215 39.5236486477019)",CO759278,Clay County Sheriff's Office,120 S Alabama St,Brazil,47834-2601, , ,,618,CountyApproved,{255AB77E-C9A8-41A8-BBF5-D845774E1FC5},-87.1199615810215,39.5236486477019
"POINT (-86.8983476027504 40.0415687026268)",IN000014,Crawfordsville Fire Dept,100 S Water St,Crawfordsville,47933-2533, , ,,618, ,{546073CC-2AAB-4D07-9E32-760FF2A4435E},-86.8983476027504,40.0415687026268
"POINT (-85.5883671076781 41.4638495463366)",IN000029,Ligonier Fire Dept,103 W 3rd St,Ligonier,46767-1903, , ,,618, ,{3DF33EE7-A0EF-4794-AAAB-434ED364F5EB},-85.5883671076781,41.4638495463366
"POINT (-85.9949348440006 39.9430020651264)",IN000042,Fishers Fire Station 94,10701 Cumberland Rd,Fishers,46038-8245, , ,,618, ,{FD4DD6D6-331B-46FF-8D5B-77DBBEE69B95},-85.9949348440006,39.9430020651264
"POINT (-86.1459057055933 39.9432209738593)",IN000043,Carmel Fire Dept,10701 N College Ave,Indianapolis,46280-1098, , ,,618, ,{B8086828-2B9F-475B-9386-029E2F735E3D},-86.1459057055933,39.9432209738593
"POINT (-86.0511451339301 39.939601695086)",IN000044,Fishers Fire Station 93,10501 Allisonville Rd,Fishers,46038-2123, , ,,618, ,{827684D4-0F80-49D2-97B0-23EDA99EBFFF},-86.0511451339301,39.939601695086
"POINT (-87.0754915068301 39.4174786860891)",CO759284,CENTER POINT & COMMUNITY VOLUNTEER FIRE,502 E OHIO ST,CENTER POINT,47840, , ,,618,CountyApproved,{5650ED56-47F1-414E-B90F-6DFF685E84E5},-87.0754915068301,39.4174786860891
"POINT (-87.1245315974221 39.5234086418355)",CO759279,Brazil Fire Dept,202 E Jackson St,Brazil,47834-2611, , ,,618,CountyApproved,{DD0E6B03-A9D4-4153-BB02-128EC6075023},-87.1245315974221,39.5234086418355
"POINT (-87.1746817428839 39.5252885753906)",CO759280,Dick Johnson Twp Trustee,3374 W County Road 950 N,Brazil,47834-7885, , ,,618,CountyApproved,{41FEFA09-3BB0-4B3D-8B6C-CA2815C3A300},-87.1746817428839,39.5252885753906
"POINT (-87.0649673002829 40.08804785339)",IN000047,Waynetown Community Fire Dept,106 W Washington,Waynetown,47990-0000, , ,,618, ,{C2C35D21-7C19-4593-A532-46EA1AD0C886},-87.0649673002829,40.08804785339
"POINT (-85.8151887150519 41.7214399873559)",IN000048,Bristol Fire Dept,107 Apollo St,Bristol,46507-8621, , ,,618, ,{118E884F-8517-4923-8503-635DE1F25C96},-85.8151887150519,41.7214399873559
"POINT (-85.0667664349185 41.5270197191225)",IN000022,Ashley Fire Dept,101 S Union Ave,Ashley,46705-0000, , ,,618, ,{35015777-FAA1-43D1-82E9-82289B56668F},-85.0667664349185,41.5270197191225
"POINT (-87.1874919735577 39.4870885954084)",CO759287,POSEY TWP CLAY COUNTY VOLUNTEER FIRE DEP,300 E COLUMBUS ST,STAUNTON,47881, , ,,618,CountyApproved,{50D1131D-4D7B-41D5-BD43-6AB9C2EDE62F},-87.1874919735577,39.4870885954084
"POINT (-87.1171414233462 39.2774185272966)",CO759281,CLAY CITY HARRISON TWP VOLUNTEER FIRE DE,403 W SEVENTH ST,CLAY CITY,47841, , ,,618,CountyApproved,{6B9939D2-FA9E-4FD5-9687-D137639DC377},-87.1171414233462,39.2774185272966
"POINT (-87.0750115804927 39.4735587261496)",CO759282,JACKSON TWP VOLUNTEER FIRE DEPARTMENT,1960 E CR 600 N,BRAZIL,47834, , ,,618,CountyApproved,{C7F16090-08B5-457A-BAA0-AC8B0F93A633},-87.0750115804927,39.4735587261496
"POINT (-86.950471400289 39.4428189457725)",CO759283,POLAND COMMUNITY VOLUNTEER FIRE DEPT,3962 N BOWLING GREEN POLAND RD,POLAND,47868, , ,,618,CountyApproved,{1FC19293-D74C-4A7D-BEA1-D7ADEACB14CE},-86.950471400289,39.4428189457725
"POINT (-85.1401566688857 39.6432686442121)",CO739126,Connersville Fire Dept St #1,206 W 6th St,Connersville,47331-1504, , ,,618,County Approved,{6EBB976A-F332-4265-A806-EF424B1D79F7},-85.1401566688857,39.6432686442121
"POINT (-86.3423579638926 39.7668307739747)",IN000034,Washington Township-Fire Dept,10499 Caroles Ln,Avon,46123-1124, , ,,618, ,{93851E72-6C18-4265-867E-CFB05F504C3E},-86.3423579638926,39.7668307739747
