WKT,Facility_ID_Hazus,Facility_Name,Address,City,Zip_Code,Contact_Person,Phone_Number,Replacement_Cost_Thousands,Comment,GlobalID,Shape_X,Shape_Y
"POINT (-86.0762920992717 39.4766868933476)",IN798816,Sheriff's Dept,1091 Hospital Rd,Franklin,46131-9025, , ,3000, ,{DA423780-65E5-4A3B-996A-65DC5AFEB911},-86.0762920992717,39.4766868933476
"POINT (-87.3558794284583 41.5537893192312)",IN798856,Community Policing,3572 Grant St,Gary,46408-1422, , ,1442, ,{9AED87D3-8BF4-443C-87EC-D6B584570A8D},-87.3558794284583,41.5537893192312
"POINT (-86.6663865709984 40.3443281870894)",IN000128,Mulberry Town Marshal,128 S Glick,Mulberry,46058-0000, , ,1442, ,{323F25AD-369F-441B-91B1-5DF927A61515},-86.6663865709984,40.3443281870894
"POINT (-86.1129858589313 39.8107610607808)",IN000325,Indianapolis Police Dept,3120 E 30th St,Indianapolis,46218-2851, , ,1442, ,{06DCFA8B-CF20-44CD-8B31-BD9A3E481A21},-86.1129858589313,39.8107610607808
"POINT (-86.2413266676259 40.6607487599766)",IN798780,Walton Police,100 S Depot Street,Walton,46994, , ,500, ,{7226E90D-189E-472E-909C-B710D4596477},-86.2413266676259,40.6607487599766
"POINT (-85.8464375061246 41.4090791377282)",IN798823,Milford Police Dept,121 S Main St,Milford,46542-0000, , ,1442, ,{9422A35E-03F5-4408-8937-5DB115AE0922},-85.8464375061246,41.4090791377282
"POINT (-86.1790085067119 41.662609345697)",IN798937,Police Chief,200 N Church St,Mishawaka,46544-1423, , ,1442, ,{D56E4841-02EE-4AB3-A2F9-249B51849656},-86.1790085067119,41.662609345697
"POINT (-85.5007063819663 40.314749338372)",IN000049,Gaston Police Dept,107 N Sycamore St,Gaston,47342-0000, , ,1442, ,{BBC2405C-5D10-4EB2-9DE4-8EE3B4BD3035},-85.5007063819663,40.314749338372
"POINT (-85.8340878359428 41.5835894564492)",IN000068,Goshen Police Dept,111 E Jefferson St # 5,Goshen,46528-3786, , ,1442, ,{15AE12E7-96EE-4949-BD46-CCE80AD2AFD2},-85.8340878359428,41.5835894564492
"POINT (-86.5209499803725 39.6891600058111)",IN000069,Clayton Police Dept,111 E Kentucky St,Clayton,46118-9482, , ,1442, ,{13069711-F899-4E15-BF9A-9567FAE2B85A},-86.5209499803725,39.6891600058111
