"objectid_12","objectid_1","ind_id","geog_id","geog_name","geog_type","date_start","date_end","period","date_name","var_stat","var_count","var_denom","var_unstable","var_lci","var_uci","var_ci","var_sigval_nat","var_sig_nat","var_sigval_state","var_sig_state","var_sigval_dis","var_sig_dis","var_sigval_cnty","var_sig_cnty","objectid","var_race","var_sex","var_age","status","dist","geog_utm_length","geog_utm_area","SHAPE__Length","SHAPE__Area"
"79567","18","State","null","INDIANA","7851","null","DISCH012A","null","null","null","null","All","All","Year","null","159544501997.96835","null","1","null","null","6666818","null","null","null","2017","8373","117.8","null","null","2017","2110270.168044281","1820652","All","Published"
"86413","18001","County","3","Adams","23","null","DISCH012A","null","null","null","null","All","All","Year","null","1537534180.2408552","null","1","null","null","35491","null","null","null","2017","10094","64.8","null","null","2017","162629.5984913619","1820653","All","Published"
"96126","18003","County","3","Allen","301","null","DISCH012A","null","null","null","null","All","All","Year","null","3012535152.6254187","null","1","null","null","372877","null","null","null","2017","310170","80.7","null","null","2017","221440.73761390639","1820654","All","Published"
"3371","18005","County","8","Bartholomew","167","null","DISCH012A","null","null","null","null","All","All","Year","null","1767385153.7830708","null","1","null","null","82040","null","null","null","2017","311235","203.6","null","null","2017","175525.08057116377","1820655","All","Published"
"6957","18007","County","4","Benton","5","null","DISCH012A","null","null","null","null","All","All","Year","null","1829229998.097342","null","1","null","null","8613","U","null","null","2017","9516","58.1","null","null","2017","172421.77765137676","1820656","All","Published"
"13615","18009","County","6","Blackford","28","null","DISCH012A","null","null","null","null","All","All","Year","null","740817699.2573893","null","1","null","null","11976","null","null","null","2017","9344","233.8","null","null","2017","109367.34192007003","1820657","All","Published"
"19983","18011","County","5","Boone","68","null","DISCH012A","null","null","null","null","All","All","Year","null","1873817705.6726077","null","1","null","null","65875","null","null","null","2017","8330","103.2","null","null","2017","175234.8110283405","1820658","All","Published"
"26744","18013","County","8","Brown","11","null","DISCH012A","null","null","null","null","All","All","Year","null","1366944544.926216","null","1","null","null","15035","U","null","null","2017","9004","73.2","null","null","2017","150101.6167605461","1820659","All","Published"
"70780","18015","County","4","Carroll","11","null","DISCH012A","null","null","null","null","All","All","Year","null","1698369672.7676444","null","1","null","null","20039","U","null","null","2017","440970","54.9","null","null","2017","175424.4597740168","1820660","All","Published"
"72742","18017","County","4","Cass","22","null","DISCH012A","null","null","null","null","All","All","Year","null","1874644538.1503055","null","1","null","null","37994","null","null","null","2017","9318","57.9","null","null","2017","195024.71491540148","1820661","All","Published"
"33121","18019","County","9","Clark","165","null","DISCH012A","null","null","null","null","All","All","Year","null","1588412599.121614","null","1","null","null","116973","null","null","null","2017","9506","141.1","null","null","2017","197621.11083457182","1820662","All","Published"
"39909","18021","County","7","Clay","12","null","DISCH012A","null","null","null","null","All","All","Year","null","1565006845.8411417","null","1","null","null","26198","U","null","null","2017","9183","45.8","null","null","2017","192237.55188481134","1820663","All","Published"
"46287","18023","County","4","Clinton","40","null","DISCH012A","null","null","null","null","All","All","Year","null","1806432499.484373","null","1","null","null","32317","null","null","null","2017","9509","123.8","null","null","2017","174382.06613417095","1820664","All","Published"
"52942","18025","County","10","Crawford","8","null","DISCH012A","null","null","null","null","All","All","Year","null","1308546884.5425615","null","1","null","null","10566","U","null","null","2017","9131","75.7","null","null","2017","195184.71788809556","1820665","All","Published"
"59368","18027","County","10","Daviess","7","null","DISCH012A","null","null","null","null","All","All","Year","null","1878247368.2323859","null","1","null","null","33113","U","null","null","2017","9284","21.1","null","null","2017","192655.75614222788","1820666","All","Published"
"140426","18029","County","9","Dearborn","53","null","DISCH012A","null","null","null","null","All","All","Year","null","1329448616.5470636","null","1","null","null","49741","null","null","null","2017","9211","106.6","null","null","2017","157834.76234884912","1820667","All","Published"
"147085","18031","County","9","Decatur","21","null","DISCH012A","null","null","null","null","All","All","Year","null","1615195765.6479964","null","1","null","null","26737","null","null","null","2017","8221","78.5","null","null","2017","165078.23331480008","1820668","All","Published"
"153803","18033","County","3","DeKalb","16","null","DISCH012A","null","null","null","null","All","All","Year","null","1674555397.31401","null","1","null","null","42836","U","null","null","2017","8793","37.4","null","null","2017","163996.67482293304","1820669","All","Published"
"160433","18035","County","6","Delaware","308","null","DISCH012A","null","null","null","null","All","All","Year","null","1760647932.9914546","null","1","null","null","115184","null","null","null","2017","8641","267.4","null","null","2017","168366.29581379177","1820670","All","Published"
"167273","18037","County","10","Dubois","0","null","DISCH012A","null","null","null","null","All","All","Year","null","1825931759.792058","null","1","null","null","42558","U","null","null","2017","9253","0","null","null","2017","183146.67387045993","1820671","All","Published"
"173853","18039","County","2","Elkhart","73","null","DISCH012A","null","null","null","null","All","All","Year","null","2172529921.2321935","null","1","null","null","205032","null","null","null","2017","9110","35.6","null","null","2017","186294.45905187665","1820672","All","Published"
"180680","18041","County","6","Fayette","90","null","DISCH012A","null","null","null","null","All","All","Year","null","941858944.0492244","null","1","null","null","23209","null","null","null","2017","8244","387.8","null","null","2017","134767.10790970435","1820673","All","Published"
"187262","18043","County","9","Floyd","108","null","DISCH012A","null","null","null","null","All","All","Year","null","629759236.6714967","null","1","null","null","77071","null","null","null","2017","8429","140.1","null","null","2017","109077.74865249258","1820674","All","Published"
"194107","18045","County","4","Fountain","10","null","DISCH012A","null","null","null","null","All","All","Year","null","1767668662.3617282","null","1","null","null","16505","U","null","null","2017","9234","60.6","null","null","2017","182418.45245652847","1820675","All","Published"
