Day,station,day,speed,direction,gust,avgvect,gustvect
0,ACRE,1,4.783328,15,11.488928,"(4.62, 1.238)","(11.097, 2.974)"
1,ACRE,2,5.185664,1,9.879584000000001,"(5.185, 0.091)","(9.878, 0.172)"
2,ACRE,3,2.90576,256,6.079744,"(-0.703, -2.819)","(-1.471, -5.899)"
3,ACRE,4,4.291583999999999,180,14.394688,"(-4.292, 0.0)","(-14.395, 0.0)"
4,ACRE,5,7.778496,248,16.808704,"(-2.914, -7.212)","(-6.297, -15.585)"
5,ACRE,6,5.319776,273,11.220704000000001,"(0.278, -5.312)","(0.587, -11.205)"
6,ACRE,7,3.308096,249,8.806688,"(-1.186, -3.088)","(-3.156, -8.222)"
7,ACRE,8,3.79984,164,9.879584000000001,"(-3.653, 1.047)","(-9.497, 2.723)"
8,ACRE,9,6.213856,286,12.785344,"(1.713, -5.973)","(3.524, -12.29)"
9,ACRE,10,3.889248,283,9.298432,"(0.875, -3.79)","(2.092, -9.06)"
10,ACRE,11,4.112768,187,13.902944,"(-4.082, -0.501)","(-13.799, -1.694)"
11,ACRE,12,3.3975039999999996,206,12.51712,"(-3.054, -1.489)","(-11.25, -5.487)"
12,ACRE,13,2.592832,320,7.5102720000000005,"(1.986, -1.667)","(5.753, -4.828)"
13,ACRE,14,2.592832,69,8.002016,"(0.929, 2.421)","(2.868, 7.471)"
14,ACRE,15,5.185664,72,10.684256,"(1.602, 4.932)","(3.302, 10.161)"
15,ACRE,16,2.995168,7,7.197344,"(2.973, 0.365)","(7.144, 0.877)"
16,ACRE,17,5.096256,293,10.103104,"(1.991, -4.691)","(3.948, -9.3)"
17,ACRE,18,4.291583999999999,189,13.590015999999999,"(-4.239, -0.671)","(-13.423, -2.126)"
18,ACRE,19,5.990336,285,14.707616,"(1.55, -5.786)","(3.807, -14.206)"
19,ACRE,20,3.7104320000000004,331,8.49376,"(3.245, -1.799)","(7.429, -4.118)"
20,ACRE,21,1.922272,91,6.079744,"(-0.034, 1.922)","(-0.106, 6.079)"
21,ACRE,22,3.978656,224,10.907775999999998,"(-2.862, -2.764)","(-7.846, -7.577)"
22,ACRE,23,4.291583999999999,285,11.488928,"(1.111, -4.145)","(2.974, -11.097)"
23,ACRE,24,4.380992,257,10.907775999999998,"(-0.986, -4.269)","(-2.454, -10.628)"
24,ACRE,25,3.3975039999999996,299,9.119615999999999,"(1.647, -2.972)","(4.421, -7.976)"
25,ACRE,26,2.01168,273,4.783328,"(0.105, -2.009)","(0.25, -4.777)"
26,ACRE,27,4.291583999999999,209,11.220704000000001,"(-3.754, -2.081)","(-9.814, -5.44)"
27,ACRE,28,3.3975039999999996,19,8.806688,"(3.212, 1.106)","(8.327, 2.867)"
28,ACRE,29,2.2799039999999997,192,6.392672,"(-2.23, -0.474)","(-6.253, -1.329)"
29,ACRE,30,2.190496,307,6.7056,"(1.318, -1.749)","(4.036, -5.355)"
30,ACRE,31,2.190496,137,6.884416,"(-1.602, 1.494)","(-5.035, 4.695)"
31,ACRE,32,4.112768,182,13.902944,"(-4.11, -0.144)","(-13.894, -0.485)"
32,ACRE,33,1.296416,8,7.689088,"(1.284, 0.18)","(7.614, 1.07)"
