Day,station,day,speed,direction,gust,avgvect,gustvect
0,DPAC,1,2.68224,131,9.119615999999999,"(-1.76, 2.024)","(-5.983, 6.883)"
1,DPAC,2,0.178816,144,8.806688,"(-0.145, 0.105)","(-7.125, 5.176)"
2,DPAC,3,0.491744,356,5.096256,"(0.491, -0.034)","(5.084, -0.355)"
3,DPAC,4,2.2799039999999997,273,11.488928,"(0.119, -2.277)","(0.601, -11.473)"
4,DPAC,5,6.392672,352,15.19936,"(6.33, -0.89)","(15.051, -2.115)"
5,DPAC,6,4.69392,11,10.684256,"(4.608, 0.896)","(10.488, 2.039)"
6,DPAC,7,3.7104320000000004,5,10.103104,"(3.696, 0.323)","(10.065, 0.881)"
7,DPAC,8,3.889248,266,11.980672,"(-0.271, -3.88)","(-0.836, -11.951)"
8,DPAC,9,4.783328,21,11.488928,"(4.466, 1.714)","(10.726, 4.117)"
9,DPAC,10,4.515104,23,9.879584000000001,"(4.156, 1.764)","(9.094, 3.86)"
10,DPAC,11,2.90576,290,10.684256,"(0.994, -2.731)","(3.654, -10.04)"
11,DPAC,12,2.592832,316,13.321792,"(1.865, -1.801)","(9.583, -9.254)"
12,DPAC,13,1.78816,114,4.783328,"(-0.727, 1.634)","(-1.946, 4.37)"
13,DPAC,14,3.084576,146,8.314944,"(-2.557, 1.725)","(-6.893, 4.65)"
14,DPAC,15,4.112768,154,8.49376,"(-3.697, 1.803)","(-7.634, 3.723)"
15,DPAC,16,2.414016,126,5.588,"(-1.419, 1.953)","(-3.285, 4.521)"
16,DPAC,17,5.409184,22,11.220704000000001,"(5.015, 2.026)","(10.404, 4.203)"
17,DPAC,18,3.084576,300,9.879584000000001,"(1.542, -2.671)","(4.94, -8.556)"
18,DPAC,19,4.783328,16,10.416032,"(4.598, 1.318)","(10.013, 2.871)"
19,DPAC,20,3.3975039999999996,89,9.119615999999999,"(0.059, 3.397)","(0.159, 9.118)"
20,DPAC,21,1.922272,179,7.197344,"(-1.922, 0.034)","(-7.196, 0.126)"
21,DPAC,22,2.503424,319,8.806688,"(1.889, -1.642)","(6.646, -5.778)"
22,DPAC,23,3.084576,12,10.907775999999998,"(3.017, 0.641)","(10.669, 2.268)"
23,DPAC,24,2.2799039999999997,306,8.314944,"(1.34, -1.844)","(4.887, -6.727)"
24,DPAC,25,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
25,DPAC,26,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
26,DPAC,27,0.0,336,0.491744,"(0.0, -0.0)","(0.449, -0.2)"
27,DPAC,28,2.2799039999999997,110,8.002016,"(-0.78, 2.142)","(-2.737, 7.519)"
28,DPAC,29,1.519936,316,6.7056,"(1.093, -1.056)","(4.824, -4.658)"
29,DPAC,30,1.6987519999999998,289,5.096256,"(0.553, -1.606)","(1.659, -4.819)"
30,DPAC,31,1.296416,230,5.588,"(-0.833, -0.993)","(-3.592, -4.281)"
31,DPAC,32,3.084576,269,10.416032,"(-0.054, -3.084)","(-0.182, -10.414)"
32,DPAC,33,1.6987519999999998,274,7.689088,"(0.118, -1.695)","(0.536, -7.67)"
33,DPAC,34,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
34,DPAC,35,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
35,DPAC,36,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
36,DPAC,37,1.207008,281,6.884416,"(0.23, -1.185)","(1.314, -6.758)"
37,DPAC,38,3.308096,359,8.314944,"(3.308, -0.058)","(8.314, -0.145)"
38,DPAC,39,2.503424,272,8.49376,"(0.087, -2.502)","(0.296, -8.489)"
39,DPAC,40,3.218688,329,10.103104,"(2.759, -1.658)","(8.66, -5.203)"
40,DPAC,41,3.978656,354,10.907775999999998,"(3.957, -0.416)","(10.848, -1.14)"
41,DPAC,42,3.621024,319,10.684256,"(2.733, -2.376)","(8.064, -7.01)"
42,DPAC,43,4.604512000000001,35,11.980672,"(3.772, 2.641)","(9.814, 6.872)"
43,DPAC,44,3.084576,18,7.197344,"(2.934, 0.953)","(6.845, 2.224)"
44,DPAC,45,1.609344,343,6.079744,"(1.539, -0.471)","(5.814, -1.778)"
45,DPAC,46,2.995168,224,8.314944,"(-2.155, -2.081)","(-5.981, -5.776)"
46,DPAC,47,4.515104,284,12.785344,"(1.092, -4.381)","(3.093, -12.406)"
47,DPAC,48,2.592832,313,13.590015999999999,"(1.768, -1.896)","(9.268, -9.939)"
48,DPAC,49,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
49,DPAC,50,4.515104,23,16.808704,"(4.156, 1.764)","(15.472, 6.568)"
50,DPAC,51,3.486912,286,11.220704000000001,"(0.961, -3.352)","(3.093, -10.786)"
51,DPAC,52,2.995168,274,9.61136,"(0.209, -2.988)","(0.67, -9.588)"
52,DPAC,53,4.202176,320,14.886432,"(3.219, -2.701)","(11.404, -9.569)"
53,DPAC,54,4.380992,49,11.220704000000001,"(2.874, 3.306)","(7.361, 8.468)"
54,DPAC,55,3.7104320000000004,160,10.907775999999998,"(-3.487, 1.269)","(-10.25, 3.731)"
55,DPAC,56,0.804672,32,5.096256,"(0.682, 0.426)","(4.322, 2.701)"
56,DPAC,57,2.68224,8,6.7056,"(2.656, 0.373)","(6.64, 0.933)"
57,DPAC,58,3.084576,2,9.879584000000001,"(3.083, 0.108)","(9.874, 0.345)"
58,DPAC,59,1.78816,270,7.5102720000000005,"(-0.0, -1.788)","(-0.0, -7.51)"
59,DPAC,60,2.995168,338,9.298432,"(2.777, -1.122)","(8.621, -3.483)"
