Day,station,day,speed,direction,gust,avgvect,gustvect
0,DUNLAP,181,2.2799039999999997,234,8.180832,"(-1.34, -1.844)","(-4.809, -6.618)"
1,DUNLAP,182,2.2799039999999997,254,13.500608,"(-0.628, -2.192)","(-3.721, -12.978)"
2,DUNLAP,183,1.207008,4,5.498592,"(1.204, 0.084)","(5.485, 0.384)"
3,DUNLAP,184,0.715264,81,4.604512000000001,"(0.112, 0.706)","(0.72, 4.548)"
4,DUNLAP,185,1.609344,200,7.286752,"(-1.512, -0.55)","(-6.847, -2.492)"
5,DUNLAP,186,2.190496,252,7.286752,"(-0.677, -2.083)","(-2.252, -6.93)"
6,DUNLAP,187,2.2799039999999997,28,7.018528,"(2.013, 1.07)","(6.197, 3.295)"
7,DUNLAP,188,0.89408,96,4.515104,"(-0.093, 0.889)","(-0.472, 4.49)"
8,DUNLAP,189,1.1176,78,5.722112,"(0.232, 1.093)","(1.19, 5.597)"
9,DUNLAP,190,2.01168,56,7.286752,"(1.125, 1.668)","(4.075, 6.041)"
10,DUNLAP,191,0.402336,354,3.218688,"(0.4, -0.042)","(3.201, -0.336)"
11,DUNLAP,192,3.308096,237,97.99116799999999,"(-1.802, -2.774)","(-53.37, -82.182)"
12,DUNLAP,193,1.609344,320,7.1079360000000005,"(1.233, -1.034)","(5.445, -4.569)"
13,DUNLAP,194,1.609344,315,7.018528,"(1.138, -1.138)","(4.963, -4.963)"
14,DUNLAP,195,0.983488,7,6.3032639999999995,"(0.976, 0.12)","(6.256, 0.768)"
15,DUNLAP,196,0.983488,194,5.498592,"(-0.954, -0.238)","(-5.335, -1.33)"
16,DUNLAP,197,1.296416,199,6.884416,"(-1.226, -0.422)","(-6.509, -2.241)"
17,DUNLAP,198,1.385824,251,8.091424,"(-0.451, -1.31)","(-2.634, -7.651)"
18,DUNLAP,199,0.89408,335,4.783328,"(0.81, -0.378)","(4.335, -2.022)"
19,DUNLAP,200,1.296416,232,7.1079360000000005,"(-0.798, -1.022)","(-4.376, -5.601)"
20,DUNLAP,201,2.68224,248,9.879584000000001,"(-1.005, -2.487)","(-3.701, -9.16)"
21,DUNLAP,202,1.78816,256,6.616192,"(-0.433, -1.735)","(-1.601, -6.42)"
22,DUNLAP,203,1.207008,258,4.380992,"(-0.251, -1.181)","(-0.911, -4.285)"
23,DUNLAP,204,2.414016,248,16.719296,"(-0.904, -2.238)","(-6.263, -15.502)"
24,DUNLAP,205,2.68224,229,8.002016,"(-1.76, -2.024)","(-5.25, -6.039)"
25,DUNLAP,206,0.983488,9,4.91744,"(0.971, 0.154)","(4.857, 0.769)"
26,DUNLAP,207,1.207008,202,5.409184,"(-1.119, -0.452)","(-5.015, -2.026)"
27,DUNLAP,208,1.385824,243,5.319776,"(-0.629, -1.235)","(-2.415, -4.74)"
28,DUNLAP,209,1.385824,275,6.7056,"(0.121, -1.381)","(0.584, -6.68)"
29,DUNLAP,210,0.983488,315,6.213856,"(0.695, -0.695)","(4.394, -4.394)"
30,DUNLAP,211,0.581152,210,4.112768,"(-0.503, -0.291)","(-3.562, -2.056)"
31,DUNLAP,212,0.983488,215,6.079744,"(-0.806, -0.564)","(-4.98, -3.487)"
32,DUNLAP,213,2.414016,241,8.49376,"(-1.17, -2.111)","(-4.118, -7.429)"
33,DUNLAP,214,1.1176,242,6.795007999999999,"(-0.525, -0.987)","(-3.19, -6.0)"
34,DUNLAP,215,2.68224,228,13.813536,"(-1.795, -1.993)","(-9.243, -10.265)"
35,DUNLAP,216,1.296416,216,5.722112,"(-1.049, -0.762)","(-4.629, -3.363)"
36,DUNLAP,217,0.89408,195,7.420864000000001,"(-0.864, -0.231)","(-7.168, -1.921)"
37,DUNLAP,218,1.296416,229,5.498592,"(-0.851, -0.978)","(-3.607, -4.15)"
38,DUNLAP,219,1.922272,232,10.416032,"(-1.183, -1.515)","(-6.413, -8.208)"
39,DUNLAP,220,2.68224,249,10.416032,"(-0.961, -2.504)","(-3.733, -9.724)"
40,DUNLAP,221,0.89408,35,4.604512000000001,"(0.732, 0.513)","(3.772, 2.641)"
41,DUNLAP,222,1.1176,15,5.319776,"(1.08, 0.289)","(5.139, 1.377)"
42,DUNLAP,223,1.385824,17,7.1079360000000005,"(1.325, 0.405)","(6.797, 2.078)"
43,DUNLAP,224,0.89408,43,6.213856,"(0.654, 0.61)","(4.545, 4.238)"
