Day,station,day,speed,direction,gust,avgvect,gustvect
0,NEPAC,1,2.8163519999999997,36,10.416032,"(2.278, 1.655)","(8.427, 6.122)"
1,NEPAC,2,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
2,NEPAC,3,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
3,NEPAC,4,2.592832,177,12.785344,"(-2.589, 0.136)","(-12.768, 0.669)"
4,NEPAC,5,8.806688,248,18.909792,"(-3.299, -8.165)","(-7.084, -17.533)"
5,NEPAC,6,5.096256,258,11.712448,"(-1.06, -4.985)","(-2.435, -11.457)"
6,NEPAC,7,3.978656,254,9.61136,"(-1.097, -3.825)","(-2.649, -9.239)"
7,NEPAC,8,3.3975039999999996,161,8.806688,"(-3.212, 1.106)","(-8.327, 2.867)"
8,NEPAC,9,5.722112,285,14.707616,"(1.481, -5.527)","(3.807, -14.206)"
9,NEPAC,10,5.409184,286,12.785344,"(1.491, -5.2)","(3.524, -12.29)"
10,NEPAC,11,4.112768,209,13.902944,"(-3.597, -1.994)","(-12.16, -6.74)"
11,NEPAC,12,4.291583999999999,228,11.712448,"(-2.872, -3.189)","(-7.837, -8.704)"
12,NEPAC,13,1.922272,12,6.884416,"(1.88, 0.4)","(6.734, 1.431)"
13,NEPAC,14,3.486912,71,10.684256,"(1.135, 3.297)","(3.478, 10.102)"
14,NEPAC,15,5.006848,70,9.61136,"(1.712, 4.705)","(3.287, 9.032)"
15,NEPAC,16,2.503424,49,6.079744,"(1.642, 1.889)","(3.989, 4.588)"
16,NEPAC,17,4.291583999999999,291,9.298432,"(1.538, -4.007)","(3.332, -8.681)"
17,NEPAC,18,3.978656,204,11.712448,"(-3.635, -1.618)","(-10.7, -4.764)"
18,NEPAC,19,5.990336,282,11.488928,"(1.245, -5.859)","(2.389, -11.238)"
19,NEPAC,20,2.995168,356,8.002016,"(2.988, -0.209)","(7.983, -0.558)"
20,NEPAC,21,1.6987519999999998,112,6.079744,"(-0.636, 1.575)","(-2.278, 5.637)"
21,NEPAC,22,4.69392,228,13.098272,"(-3.141, -3.488)","(-8.764, -9.734)"
22,NEPAC,23,3.3975039999999996,336,11.980672,"(3.104, -1.382)","(10.945, -4.873)"
23,NEPAC,24,3.79984,244,9.298432,"(-1.666, -3.415)","(-4.076, -8.357)"
24,NEPAC,25,3.084576,276,6.884416,"(0.322, -3.068)","(0.72, -6.847)"
25,NEPAC,26,2.414016,235,5.096256,"(-1.385, -1.977)","(-2.923, -4.175)"
26,NEPAC,27,4.380992,227,11.712448,"(-2.988, -3.204)","(-7.988, -8.566)"
27,NEPAC,28,3.486912,23,8.314944,"(3.21, 1.362)","(7.654, 3.249)"
28,NEPAC,29,1.922272,220,7.197344,"(-1.473, -1.236)","(-5.513, -4.626)"
29,NEPAC,30,1.385824,99,3.7104320000000004,"(-0.217, 1.369)","(-0.58, 3.665)"
30,NEPAC,31,2.01168,129,5.588,"(-1.266, 1.563)","(-3.517, 4.343)"
31,NEPAC,32,3.308096,177,13.098272,"(-3.304, 0.173)","(-13.08, 0.686)"
32,NEPAC,33,3.978656,10,10.103104,"(3.918, 0.691)","(9.95, 1.754)"
33,NEPAC,34,5.81152,26,10.907775999999998,"(5.223, 2.548)","(9.804, 4.782)"
34,NEPAC,35,2.995168,335,8.49376,"(2.715, -1.266)","(7.698, -3.59)"
35,NEPAC,36,3.084576,226,8.314944,"(-2.143, -2.219)","(-5.776, -5.981)"
36,NEPAC,37,3.218688,198,8.002016,"(-3.061, -0.995)","(-7.61, -2.473)"
37,NEPAC,38,4.380992,238,8.49376,"(-2.322, -3.715)","(-4.501, -7.203)"
38,NEPAC,39,2.414016,182,9.879584000000001,"(-2.413, -0.084)","(-9.874, -0.345)"
39,NEPAC,40,5.409184,231,10.103104,"(-3.404, -4.204)","(-6.358, -7.852)"
40,NEPAC,41,5.319776,246,10.416032,"(-2.164, -4.86)","(-4.237, -9.516)"
41,NEPAC,42,6.3032639999999995,227,12.2936,"(-4.299, -4.61)","(-8.384, -8.991)"
42,NEPAC,43,4.604512000000001,305,12.51712,"(2.641, -3.772)","(7.18, -10.253)"
43,NEPAC,44,3.084576,265,7.197344,"(-0.269, -3.073)","(-0.627, -7.17)"
44,NEPAC,45,2.01168,237,6.392672,"(-1.096, -1.687)","(-3.482, -5.361)"
45,NEPAC,46,3.084576,117,8.314944,"(-1.4, 2.748)","(-3.775, 7.409)"
46,NEPAC,47,5.319776,192,12.785344,"(-5.204, -1.106)","(-12.506, -2.658)"
47,NEPAC,48,2.995168,286,13.098272,"(0.826, -2.879)","(3.61, -12.591)"
48,NEPAC,49,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
49,NEPAC,50,2.503424,280,12.2936,"(0.435, -2.465)","(2.135, -12.107)"
50,NEPAC,51,5.006848,208,14.08176,"(-4.421, -2.351)","(-12.433, -6.611)"
51,NEPAC,52,2.592832,170,8.49376,"(-2.553, 0.45)","(-8.365, 1.475)"
52,NEPAC,53,4.91744,227,16.316959999999998,"(-3.354, -3.596)","(-11.128, -11.933)"
53,NEPAC,54,4.783328,321,11.488928,"(3.717, -3.01)","(8.929, -7.23)"
54,NEPAC,55,5.319776,75,12.51712,"(1.377, 5.139)","(3.24, 12.091)"
55,NEPAC,56,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
56,NEPAC,57,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
57,NEPAC,58,3.7104320000000004,264,9.879584000000001,"(-0.388, -3.69)","(-1.033, -9.825)"
58,NEPAC,59,2.90576,187,8.49376,"(-2.884, -0.354)","(-8.43, -1.035)"
59,NEPAC,60,3.486912,259,9.119615999999999,"(-0.665, -3.423)","(-1.74, -8.952)"
60,NEPAC,61,,0,,"(nan, nan)","(nan, nan)"
61,NEPAC,64,4.783328,195,12.785344,"(-4.62, -1.238)","(-12.35, -3.309)"
62,NEPAC,65,6.3032639999999995,247,19.490944,"(-2.463, -5.802)","(-7.616, -17.942)"
63,NEPAC,66,5.319776,326,13.590015999999999,"(4.41, -2.975)","(11.267, -7.599)"
64,NEPAC,67,2.414016,241,6.7056,"(-1.17, -2.111)","(-3.251, -5.865)"
65,NEPAC,68,2.2799039999999997,269,11.980672,"(-0.04, -2.28)","(-0.209, -11.979)"
66,NEPAC,69,1.6987519999999998,306,5.588,"(0.999, -1.374)","(3.285, -4.521)"
67,NEPAC,70,4.380992,301,11.980672,"(2.256, -3.755)","(6.171, -10.269)"
68,NEPAC,71,6.079744,298,13.098272,"(2.854, -5.368)","(6.149, -11.565)"
69,NEPAC,72,5.722112,230,15.19936,"(-3.678, -4.383)","(-9.77, -11.643)"
70,NEPAC,73,3.79984,220,12.785344,"(-2.911, -2.442)","(-9.794, -8.218)"
