Day,station,day,speed,direction,gust,avgvect,gustvect
0,PPAC,1,2.995168,12,9.879584000000001,"(2.93, 0.623)","(9.664, 2.054)"
1,PPAC,2,0.983488,261,5.9009279999999995,"(-0.154, -0.971)","(-0.923, -5.828)"
2,PPAC,3,2.503424,223,5.588,"(-1.831, -1.707)","(-4.087, -3.811)"
3,PPAC,4,3.978656,182,13.902944,"(-3.976, -0.139)","(-13.894, -0.485)"
4,PPAC,5,8.091424,254,17.300448,"(-2.23, -7.778)","(-4.769, -16.63)"
5,PPAC,6,4.515104,257,9.61136,"(-1.016, -4.399)","(-2.162, -9.365)"
6,PPAC,7,2.90576,229,7.5102720000000005,"(-1.906, -2.193)","(-4.927, -5.668)"
7,PPAC,8,4.112768,171,10.103104,"(-4.062, 0.643)","(-9.979, 1.58)"
8,PPAC,9,5.9009279999999995,301,13.590015999999999,"(3.039, -5.058)","(6.999, -11.649)"
9,PPAC,10,4.380992,296,9.879584000000001,"(1.921, -3.938)","(4.331, -8.88)"
10,PPAC,11,4.380992,202,11.712448,"(-4.062, -1.641)","(-10.86, -4.388)"
11,PPAC,12,2.414016,221,6.392672,"(-1.822, -1.584)","(-4.825, -4.194)"
12,PPAC,13,2.2799039999999997,3,7.689088,"(2.277, 0.119)","(7.679, 0.402)"
13,PPAC,14,2.90576,62,8.314944,"(1.364, 2.566)","(3.904, 7.342)"
14,PPAC,15,3.486912,66,9.119615999999999,"(1.418, 3.185)","(3.709, 8.331)"
15,PPAC,16,1.922272,24,7.197344,"(1.756, 0.782)","(6.575, 2.927)"
16,PPAC,17,5.006848,304,10.416032,"(2.8, -4.151)","(5.825, -8.635)"
17,PPAC,18,4.202176,197,10.907775999999998,"(-4.019, -1.229)","(-10.431, -3.189)"
18,PPAC,19,5.81152,309,10.907775999999998,"(3.657, -4.516)","(6.864, -8.477)"
19,PPAC,20,4.112768,327,11.488928,"(3.449, -2.24)","(9.635, -6.257)"
20,PPAC,21,1.609344,119,5.588,"(-0.78, 1.408)","(-2.709, 4.887)"
21,PPAC,22,4.91744,247,10.907775999999998,"(-1.921, -4.527)","(-4.262, -10.041)"
22,PPAC,23,3.308096,9,10.684256,"(3.267, 0.518)","(10.553, 1.671)"
23,PPAC,24,4.380992,288,10.907775999999998,"(1.354, -4.167)","(3.371, -10.374)"
24,PPAC,25,3.889248,289,7.5102720000000005,"(1.266, -3.677)","(2.445, -7.101)"
25,PPAC,26,2.8163519999999997,219,6.392672,"(-2.189, -1.772)","(-4.968, -4.023)"
26,PPAC,27,4.112768,241,10.907775999999998,"(-1.994, -3.597)","(-5.288, -9.54)"
27,PPAC,28,2.68224,49,7.197344,"(1.76, 2.024)","(4.722, 5.432)"
28,PPAC,29,2.503424,195,5.588,"(-2.418, -0.648)","(-5.398, -1.446)"
29,PPAC,30,1.296416,46,4.291583999999999,"(0.901, 0.933)","(2.981, 3.087)"
30,PPAC,31,2.995168,142,8.314944,"(-2.36, 1.844)","(-6.552, 5.119)"
31,PPAC,32,3.308096,185,8.002016,"(-3.296, -0.288)","(-7.972, -0.697)"
32,PPAC,33,0.804672,18,8.002016,"(0.765, 0.249)","(7.61, 2.473)"
33,PPAC,34,5.498592,30,10.907775999999998,"(4.762, 2.749)","(9.446, 5.454)"
34,PPAC,35,3.084576,284,9.298432,"(0.746, -2.993)","(2.249, -9.022)"
35,PPAC,36,3.79984,219,8.314944,"(-2.953, -2.391)","(-6.462, -5.233)"
36,PPAC,37,3.486912,199,9.119615999999999,"(-3.297, -1.135)","(-8.623, -2.969)"
37,PPAC,38,3.7104320000000004,267,9.119615999999999,"(-0.194, -3.705)","(-0.477, -9.107)"
38,PPAC,39,3.218688,173,8.002016,"(-3.195, 0.392)","(-7.942, 0.975)"
39,PPAC,40,3.978656,243,11.980672,"(-1.806, -3.545)","(-5.439, -10.675)"
40,PPAC,41,4.69392,259,11.220704000000001,"(-0.896, -4.608)","(-2.141, -11.015)"
41,PPAC,42,5.498592,248,15.19936,"(-2.06, -5.098)","(-5.694, -14.093)"
42,PPAC,43,4.91744,323,10.907775999999998,"(3.927, -2.959)","(8.711, -6.564)"
43,PPAC,44,2.90576,291,7.689088,"(1.041, -2.713)","(2.756, -7.178)"
44,PPAC,45,2.592832,217,6.392672,"(-2.071, -1.56)","(-5.105, -3.847)"
45,PPAC,46,4.112768,131,11.488928,"(-2.698, 3.104)","(-7.537, 8.671)"
46,PPAC,47,6.3032639999999995,204,16.004032,"(-5.758, -2.564)","(-14.62, -6.509)"
47,PPAC,48,7.420864000000001,359,15.19936,"(7.42, -0.13)","(15.197, -0.265)"
48,PPAC,49,5.9009279999999995,243,16.495776,"(-2.679, -5.258)","(-7.489, -14.698)"
49,PPAC,50,5.498592,290,14.886432,"(1.881, -5.167)","(5.091, -13.989)"
50,PPAC,51,5.185664,208,13.321792,"(-4.579, -2.435)","(-11.762, -6.254)"
51,PPAC,52,2.414016,154,6.392672,"(-2.17, 1.058)","(-5.746, 2.802)"
52,PPAC,53,4.69392,279,14.886432,"(0.734, -4.636)","(2.329, -14.703)"
53,PPAC,54,4.783328,335,10.907775999999998,"(4.335, -2.022)","(9.886, -4.61)"
54,PPAC,55,4.291583999999999,76,9.298432,"(1.038, 4.164)","(2.249, 9.022)"
55,PPAC,56,2.503424,341,8.002016,"(2.367, -0.815)","(7.566, -2.605)"
56,PPAC,57,3.7104320000000004,242,9.298432,"(-1.742, -3.276)","(-4.365, -8.21)"
57,PPAC,58,3.308096,285,9.298432,"(0.856, -3.195)","(2.407, -8.982)"
58,PPAC,59,3.621024,186,12.2936,"(-3.601, -0.379)","(-12.226, -1.285)"
59,PPAC,60,2.2799039999999997,314,6.079744,"(1.584, -1.64)","(4.223, -4.373)"
60,PPAC,61,2.592832,339,10.684256,"(2.421, -0.929)","(9.975, -3.829)"
61,PPAC,62,3.978656,20,8.806688,"(3.739, 1.361)","(8.276, 3.012)"
62,PPAC,63,3.308096,106,6.884416,"(-0.912, 3.18)","(-1.898, 6.618)"
63,PPAC,64,5.409184,183,15.512288000000002,"(-5.402, -0.283)","(-15.491, -0.812)"
64,PPAC,65,5.990336,262,18.10512,"(-0.834, -5.932)","(-2.52, -17.929)"
65,PPAC,66,4.91744,330,12.2936,"(4.259, -2.459)","(10.647, -6.147)"
66,PPAC,67,2.592832,224,7.5102720000000005,"(-1.865, -1.801)","(-5.402, -5.217)"
67,PPAC,68,2.503424,282,10.416032,"(0.52, -2.449)","(2.166, -10.188)"
68,PPAC,69,3.084576,1,7.5102720000000005,"(3.084, 0.054)","(7.509, 0.131)"
69,PPAC,70,3.7104320000000004,282,12.2936,"(0.771, -3.629)","(2.556, -12.025)"
70,PPAC,71,5.185664,300,11.220704000000001,"(2.593, -4.491)","(5.61, -9.717)"
71,PPAC,72,4.380992,229,11.712448,"(-2.874, -3.306)","(-7.684, -8.839)"
72,PPAC,73,3.3975039999999996,210,10.103104,"(-2.942, -1.699)","(-8.75, -5.052)"
73,PPAC,74,1.609344,344,5.588,"(1.547, -0.444)","(5.372, -1.54)"
74,PPAC,75,2.2799039999999997,201,10.103104,"(-2.128, -0.817)","(-9.432, -3.621)"
75,PPAC,76,2.101088,269,6.392672,"(-0.037, -2.101)","(-0.112, -6.392)"
76,PPAC,77,2.68224,50,6.884416,"(1.724, 2.055)","(4.425, 5.274)"
77,PPAC,78,4.202176,314,11.488928,"(2.919, -3.023)","(7.981, -8.264)"
78,PPAC,79,1.922272,237,6.392672,"(-1.047, -1.612)","(-3.482, -5.361)"
79,PPAC,80,3.308096,195,11.712448,"(-3.195, -0.856)","(-11.313, -3.031)"
80,PPAC,81,5.81152,119,14.886432,"(-2.817, 5.083)","(-7.217, 13.02)"
81,PPAC,82,5.185664,183,15.512288000000002,"(-5.179, -0.271)","(-15.491, -0.812)"
82,PPAC,83,4.91744,232,12.2936,"(-3.027, -3.875)","(-7.569, -9.687)"
83,PPAC,84,5.722112,288,20.295616,"(1.768, -5.442)","(6.272, -19.302)"
84,PPAC,85,6.48208,328,12.51712,"(5.497, -3.435)","(10.615, -6.633)"
85,PPAC,86,4.783328,343,12.2936,"(4.574, -1.399)","(11.756, -3.594)"
86,PPAC,87,3.084576,359,10.907775999999998,"(3.084, -0.054)","(10.906, -0.19)"
87,PPAC,88,5.319776,117,11.488928,"(-2.415, 4.74)","(-5.216, 10.237)"
88,PPAC,89,3.7104320000000004,153,9.879584000000001,"(-3.306, 1.685)","(-8.803, 4.485)"
89,PPAC,90,4.380992,269,14.707616,"(-0.076, -4.38)","(-0.257, -14.705)"
90,PPAC,91,3.3975039999999996,336,9.298432,"(3.104, -1.382)","(8.495, -3.782)"
91,PPAC,92,3.621024,229,12.785344,"(-2.376, -2.733)","(-8.388, -9.649)"
92,PPAC,93,1.922272,185,5.096256,"(-1.915, -0.168)","(-5.077, -0.444)"
93,PPAC,94,3.79984,223,11.980672,"(-2.779, -2.591)","(-8.762, -8.171)"
94,PPAC,95,3.218688,126,8.002016,"(-1.892, 2.604)","(-4.703, 6.474)"
95,PPAC,96,5.006848,236,14.08176,"(-2.8, -4.151)","(-7.874, -11.674)"
96,PPAC,97,5.588,245,13.590015999999999,"(-2.362, -5.064)","(-5.743, -12.317)"
97,PPAC,98,3.79984,302,8.314944,"(2.014, -3.222)","(4.406, -7.051)"
98,PPAC,99,2.90576,333,10.684256,"(2.589, -1.319)","(9.52, -4.851)"
99,PPAC,100,4.112768,145,12.51712,"(-3.369, 2.359)","(-10.253, 7.18)"
100,PPAC,101,2.68224,234,8.002016,"(-1.577, -2.17)","(-4.703, -6.474)"
101,PPAC,102,4.291583999999999,143,11.712448,"(-3.427, 2.583)","(-9.354, 7.049)"
102,PPAC,103,4.91744,213,13.321792,"(-4.124, -2.678)","(-11.173, -7.256)"
103,PPAC,104,7.197344,253,21.90496,"(-2.104, -6.883)","(-6.404, -20.948)"
104,PPAC,105,3.978656,274,12.2936,"(0.278, -3.969)","(0.858, -12.264)"
105,PPAC,106,3.621024,339,9.879584000000001,"(3.381, -1.298)","(9.223, -3.541)"
106,PPAC,107,2.592832,76,7.689088,"(0.627, 2.516)","(1.86, 7.461)"
107,PPAC,108,4.515104,300,13.321792,"(2.258, -3.91)","(6.661, -11.537)"
108,PPAC,109,4.380992,338,11.220704000000001,"(4.062, -1.641)","(10.404, -4.203)"
109,PPAC,110,4.91744,145,16.004032,"(-4.028, 2.821)","(-13.11, 9.18)"
110,PPAC,111,4.112768,255,14.08176,"(-1.064, -3.973)","(-3.645, -13.602)"
111,PPAC,112,3.889248,104,9.298432,"(-0.941, 3.774)","(-2.249, 9.022)"
112,PPAC,113,5.006848,173,14.08176,"(-4.97, 0.61)","(-13.977, 1.716)"
113,PPAC,114,5.81152,219,18.686272,"(-4.516, -3.657)","(-14.522, -11.76)"
114,PPAC,115,4.91744,283,11.488928,"(1.106, -4.791)","(2.584, -11.194)"
115,PPAC,116,4.291583999999999,306,10.416032,"(2.523, -3.472)","(6.122, -8.427)"
116,PPAC,117,3.084576,12,8.314944,"(3.017, 0.641)","(8.133, 1.729)"
117,PPAC,118,4.202176,112,9.119615999999999,"(-1.574, 3.896)","(-3.416, 8.456)"
118,PPAC,119,4.91744,112,10.907775999999998,"(-1.842, 4.559)","(-4.086, 10.114)"
119,PPAC,120,5.588,122,12.51712,"(-2.961, 4.739)","(-6.633, 10.615)"
120,PPAC,121,4.380992,243,11.220704000000001,"(-1.989, -3.903)","(-5.094, -9.998)"
121,PPAC,122,3.084576,275,8.49376,"(0.269, -3.073)","(0.74, -8.461)"
122,PPAC,123,4.783328,29,11.220704000000001,"(4.184, 2.319)","(9.814, 5.44)"
123,PPAC,124,3.621024,2,8.002016,"(3.619, 0.126)","(7.997, 0.279)"
124,PPAC,125,2.90576,83,8.002016,"(0.354, 2.884)","(0.975, 7.942)"
