Day,station,day,speed,direction,gust,avgvect,gustvect
0,SHFPRS,182,0.581152,350,6.3032639999999995,"(0.572, -0.101)","(6.208, -1.095)"
1,SHFPRS,183,0.491744,145,3.7104320000000004,"(-0.403, 0.282)","(-3.039, 2.128)"
2,SHFPRS,184,0.581152,297,4.69392,"(0.264, -0.518)","(2.131, -4.182)"
3,SHFPRS,185,0.491744,314,5.498592,"(0.342, -0.354)","(3.82, -3.955)"
4,SHFPRS,186,0.491744,349,5.319776,"(0.483, -0.094)","(5.222, -1.015)"
5,SHFPRS,187,0.491744,72,6.079744,"(0.152, 0.468)","(1.879, 5.782)"
6,SHFPRS,188,0.491744,271,5.409184,"(0.009, -0.492)","(0.094, -5.408)"
7,SHFPRS,189,0.491744,252,7.912608,"(-0.152, -0.468)","(-2.445, -7.525)"
8,SHFPRS,190,1.207008,235,7.689088,"(-0.692, -0.989)","(-4.41, -6.299)"
9,SHFPRS,191,0.581152,214,3.7104320000000004,"(-0.482, -0.325)","(-3.076, -2.075)"
10,SHFPRS,192,0.402336,349,5.588,"(0.395, -0.077)","(5.485, -1.066)"
11,SHFPRS,193,0.804672,118,5.588,"(-0.378, 0.71)","(-2.623, 4.934)"
12,SHFPRS,194,0.491744,109,5.81152,"(-0.16, 0.465)","(-1.892, 5.495)"
13,SHFPRS,195,0.402336,123,3.79984,"(-0.219, 0.337)","(-2.07, 3.187)"
14,SHFPRS,196,0.312928,266,2.68224,"(-0.022, -0.312)","(-0.187, -2.676)"
15,SHFPRS,197,0.804672,331,5.9009279999999995,"(0.704, -0.39)","(5.161, -2.861)"
16,SHFPRS,198,0.715264,330,5.096256,"(0.619, -0.358)","(4.413, -2.548)"
17,SHFPRS,199,0.402336,102,4.112768,"(-0.084, 0.394)","(-0.855, 4.023)"
18,SHFPRS,200,0.491744,335,4.202176,"(0.446, -0.208)","(3.808, -1.776)"
19,SHFPRS,201,0.715264,348,5.722112,"(0.7, -0.149)","(5.597, -1.19)"
20,SHFPRS,202,0.402336,93,3.978656,"(-0.021, 0.402)","(-0.208, 3.973)"
21,SHFPRS,203,0.402336,49,3.621024,"(0.264, 0.304)","(2.376, 2.733)"
22,SHFPRS,204,0.581152,268,6.795007999999999,"(-0.02, -0.581)","(-0.237, -6.791)"
23,SHFPRS,205,0.804672,334,6.213856,"(0.723, -0.353)","(5.585, -2.724)"
24,SHFPRS,206,0.312928,98,3.621024,"(-0.044, 0.31)","(-0.504, 3.586)"
25,SHFPRS,207,0.312928,359,3.308096,"(0.313, -0.005)","(3.308, -0.058)"
26,SHFPRS,208,0.581152,340,6.7056,"(0.546, -0.199)","(6.301, -2.293)"
27,SHFPRS,209,0.402336,13,3.79984,"(0.392, 0.091)","(3.702, 0.855)"
28,SHFPRS,210,0.491744,100,4.91744,"(-0.085, 0.484)","(-0.854, 4.843)"
29,SHFPRS,211,0.312928,283,3.889248,"(0.07, -0.305)","(0.875, -3.79)"
30,SHFPRS,212,0.491744,321,4.604512000000001,"(0.382, -0.309)","(3.578, -2.898)"
31,SHFPRS,213,0.804672,332,7.778496,"(0.71, -0.378)","(6.868, -3.652)"
32,SHFPRS,214,0.581152,319,7.420864000000001,"(0.439, -0.381)","(5.601, -4.869)"
33,SHFPRS,215,0.581152,347,6.392672,"(0.566, -0.131)","(6.229, -1.438)"
34,SHFPRS,216,0.402336,314,6.079744,"(0.279, -0.289)","(4.223, -4.373)"
35,SHFPRS,217,0.402336,307,3.978656,"(0.242, -0.321)","(2.394, -3.177)"
36,SHFPRS,218,0.491744,355,4.515104,"(0.49, -0.043)","(4.498, -0.394)"
37,SHFPRS,219,0.715264,339,4.380992,"(0.668, -0.256)","(4.09, -1.57)"
38,SHFPRS,220,0.715264,331,6.213856,"(0.626, -0.347)","(5.435, -3.013)"
39,SHFPRS,221,0.491744,345,4.515104,"(0.475, -0.127)","(4.361, -1.169)"
40,SHFPRS,222,0.402336,113,3.79984,"(-0.157, 0.37)","(-1.485, 3.498)"
41,SHFPRS,223,0.402336,117,3.889248,"(-0.183, 0.358)","(-1.766, 3.465)"
42,SHFPRS,224,0.491744,243,5.096256,"(-0.223, -0.438)","(-2.314, -4.541)"
43,SHFPRS,225,0.402336,322,4.783328,"(0.317, -0.248)","(3.769, -2.945)"
44,SHFPRS,226,0.491744,5,5.185664,"(0.49, 0.043)","(5.166, 0.452)"
45,SHFPRS,227,0.402336,146,4.380992,"(-0.334, 0.225)","(-3.632, 2.45)"
46,SHFPRS,228,0.491744,246,4.380992,"(-0.2, -0.449)","(-1.782, -4.002)"
47,SHFPRS,229,0.491744,244,5.409184,"(-0.216, -0.442)","(-2.371, -4.862)"
48,SHFPRS,230,0.402336,345,3.7104320000000004,"(0.389, -0.104)","(3.584, -0.96)"
49,SHFPRS,231,0.312928,350,3.084576,"(0.308, -0.054)","(3.038, -0.536)"
50,SHFPRS,232,0.402336,338,4.112768,"(0.373, -0.151)","(3.813, -1.541)"
51,SHFPRS,233,0.581152,42,5.588,"(0.432, 0.389)","(4.153, 3.739)"
52,SHFPRS,234,0.491744,119,3.978656,"(-0.238, 0.43)","(-1.929, 3.48)"
53,SHFPRS,235,0.312928,93,3.084576,"(-0.016, 0.312)","(-0.161, 3.08)"
54,SHFPRS,236,0.402336,39,3.79984,"(0.313, 0.253)","(2.953, 2.391)"
55,SHFPRS,237,0.312928,11,4.291583999999999,"(0.307, 0.06)","(4.213, 0.819)"
56,SHFPRS,238,0.402336,112,4.291583999999999,"(-0.151, 0.373)","(-1.608, 3.979)"
57,SHFPRS,239,0.581152,268,5.409184,"(-0.02, -0.581)","(-0.189, -5.406)"
58,SHFPRS,240,0.715264,316,5.722112,"(0.515, -0.497)","(4.116, -3.975)"
59,SHFPRS,241,0.89408,327,8.091424,"(0.75, -0.487)","(6.786, -4.407)"
60,SHFPRS,242,0.715264,110,5.409184,"(-0.245, 0.672)","(-1.85, 5.083)"
61,SHFPRS,243,0.402336,104,4.380992,"(-0.097, 0.39)","(-1.06, 4.251)"
62,SHFPRS,244,0.402336,331,4.112768,"(0.352, -0.195)","(3.597, -1.994)"
63,SHFPRS,245,0.402336,305,4.112768,"(0.231, -0.33)","(2.359, -3.369)"
64,SHFPRS,246,0.491744,244,6.213856,"(-0.216, -0.442)","(-2.724, -5.585)"
65,SHFPRS,247,0.491744,259,3.7104320000000004,"(-0.094, -0.483)","(-0.708, -3.642)"
66,SHFPRS,248,0.491744,245,4.112768,"(-0.208, -0.446)","(-1.738, -3.727)"
67,SHFPRS,249,0.402336,221,5.319776,"(-0.304, -0.264)","(-4.015, -3.49)"
68,SHFPRS,250,0.312928,156,4.202176,"(-0.286, 0.127)","(-3.839, 1.709)"
69,SHFPRS,251,0.491744,240,4.91744,"(-0.246, -0.426)","(-2.459, -4.259)"
70,SHFPRS,252,0.491744,307,4.91744,"(0.296, -0.393)","(2.959, -3.927)"
71,SHFPRS,253,0.402336,333,5.096256,"(0.358, -0.183)","(4.541, -2.314)"
72,SHFPRS,254,0.402336,68,5.096256,"(0.151, 0.373)","(1.909, 4.725)"
73,SHFPRS,255,0.581152,350,7.912608,"(0.572, -0.101)","(7.792, -1.374)"
74,SHFPRS,256,0.402336,92,4.291583999999999,"(-0.014, 0.402)","(-0.15, 4.289)"
75,SHFPRS,257,0.312928,301,3.308096,"(0.161, -0.268)","(1.704, -2.836)"
76,SHFPRS,258,0.402336,318,3.486912,"(0.299, -0.269)","(2.591, -2.333)"
77,SHFPRS,259,0.402336,321,3.889248,"(0.313, -0.253)","(3.023, -2.448)"
78,SHFPRS,260,0.491744,331,7.1079360000000005,"(0.43, -0.238)","(6.217, -3.446)"
79,SHFPRS,261,0.715264,331,6.3032639999999995,"(0.626, -0.347)","(5.513, -3.056)"
80,SHFPRS,262,0.581152,46,6.7056,"(0.404, 0.418)","(4.658, 4.824)"
81,SHFPRS,263,0.491744,323,4.380992,"(0.393, -0.296)","(3.499, -2.637)"
82,SHFPRS,264,0.581152,357,5.498592,"(0.58, -0.03)","(5.491, -0.288)"
83,SHFPRS,265,0.804672,154,6.795007999999999,"(-0.723, 0.353)","(-6.107, 2.979)"
84,SHFPRS,266,0.581152,270,4.291583999999999,"(-0.0, -0.581)","(-0.0, -4.292)"
85,SHFPRS,267,0.715264,174,5.409184,"(-0.711, 0.075)","(-5.38, 0.565)"
86,SHFPRS,268,0.804672,331,7.5102720000000005,"(0.704, -0.39)","(6.569, -3.641)"
87,SHFPRS,269,0.715264,325,7.286752,"(0.586, -0.41)","(5.969, -4.18)"
88,SHFPRS,270,0.581152,336,6.079744,"(0.531, -0.236)","(5.554, -2.473)"
89,SHFPRS,271,0.491744,62,6.795007999999999,"(0.231, 0.434)","(3.19, 6.0)"
90,SHFPRS,272,0.715264,92,6.3032639999999995,"(-0.025, 0.715)","(-0.22, 6.299)"
91,SHFPRS,273,0.715264,83,5.096256,"(0.087, 0.71)","(0.621, 5.058)"
92,SHFPRS,274,0.581152,57,5.185664,"(0.317, 0.487)","(2.824, 4.349)"
93,SHFPRS,275,0.715264,78,6.48208,"(0.149, 0.7)","(1.348, 6.34)"
94,SHFPRS,276,0.715264,89,5.185664,"(0.012, 0.715)","(0.091, 5.185)"
95,SHFPRS,277,0.312928,106,3.978656,"(-0.086, 0.301)","(-1.097, 3.825)"
96,SHFPRS,278,0.312928,322,3.621024,"(0.247, -0.193)","(2.853, -2.229)"
97,SHFPRS,279,0.491744,201,6.884416,"(-0.459, -0.176)","(-6.427, -2.467)"
98,SHFPRS,280,0.715264,9,6.48208,"(0.706, 0.112)","(6.402, 1.014)"
99,SHFPRS,281,0.402336,327,4.604512000000001,"(0.337, -0.219)","(3.862, -2.508)"
100,SHFPRS,282,0.402336,228,5.096256,"(-0.269, -0.299)","(-3.41, -3.787)"
101,SHFPRS,283,0.491744,187,5.722112,"(-0.488, -0.06)","(-5.679, -0.697)"
102,SHFPRS,284,0.715264,178,6.392672,"(-0.715, 0.025)","(-6.389, 0.223)"
103,SHFPRS,285,0.804672,198,7.286752,"(-0.765, -0.249)","(-6.93, -2.252)"
104,SHFPRS,286,0.804672,293,9.700768,"(0.314, -0.741)","(3.79, -8.93)"
105,SHFPRS,287,0.804672,207,8.091424,"(-0.717, -0.365)","(-7.21, -3.673)"
106,SHFPRS,288,0.581152,295,5.319776,"(0.246, -0.527)","(2.248, -4.821)"
107,SHFPRS,289,0.581152,317,6.213856,"(0.425, -0.396)","(4.545, -4.238)"
108,SHFPRS,290,1.296416,336,8.896096,"(1.184, -0.527)","(8.127, -3.618)"
109,SHFPRS,291,1.1176,336,8.002016,"(1.021, -0.455)","(7.31, -3.255)"
110,SHFPRS,292,0.581152,288,5.990336,"(0.18, -0.553)","(1.851, -5.697)"
111,SHFPRS,293,0.715264,207,6.7056,"(-0.637, -0.325)","(-5.975, -3.044)"
112,SHFPRS,294,1.296416,199,7.286752,"(-1.226, -0.422)","(-6.89, -2.372)"
113,SHFPRS,295,1.296416,194,7.5102720000000005,"(-1.258, -0.314)","(-7.287, -1.817)"
114,SHFPRS,296,1.1176,186,8.404352,"(-1.111, -0.117)","(-8.358, -0.878)"
115,SHFPRS,297,1.1176,188,8.404352,"(-1.107, -0.156)","(-8.323, -1.17)"
116,SHFPRS,298,1.296416,176,10.013696,"(-1.293, 0.09)","(-9.989, 0.699)"
117,SHFPRS,299,1.1176,313,6.48208,"(0.762, -0.817)","(4.421, -4.741)"
118,SHFPRS,300,0.804672,96,5.990336,"(-0.084, 0.8)","(-0.626, 5.958)"
119,SHFPRS,301,0.581152,104,4.291583999999999,"(-0.141, 0.564)","(-1.038, 4.164)"
120,SHFPRS,302,0.491744,125,4.604512000000001,"(-0.282, 0.403)","(-2.641, 3.772)"
121,SHFPRS,303,0.402336,119,3.486912,"(-0.195, 0.352)","(-1.69, 3.05)"
122,SHFPRS,304,0.581152,214,4.69392,"(-0.482, -0.325)","(-3.891, -2.625)"
123,SHFPRS,305,0.402336,239,4.202176,"(-0.207, -0.345)","(-2.164, -3.602)"
124,SHFPRS,306,0.312928,148,4.112768,"(-0.265, 0.166)","(-3.488, 2.179)"
125,SHFPRS,307,0.491744,177,5.81152,"(-0.491, 0.026)","(-5.804, 0.304)"
126,SHFPRS,308,1.385824,190,8.404352,"(-1.365, -0.241)","(-8.277, -1.459)"
127,SHFPRS,309,1.922272,199,11.801855999999999,"(-1.818, -0.626)","(-11.159, -3.842)"
128,SHFPRS,310,0.581152,209,6.48208,"(-0.508, -0.282)","(-5.669, -3.143)"
129,SHFPRS,311,0.715264,79,5.498592,"(0.136, 0.702)","(1.049, 5.398)"
130,SHFPRS,312,1.78816,95,7.018528,"(-0.156, 1.781)","(-0.612, 6.992)"
131,SHFPRS,313,0.581152,123,5.81152,"(-0.317, 0.487)","(-3.165, 4.874)"
132,SHFPRS,314,0.581152,199,6.392672,"(-0.549, -0.189)","(-6.044, -2.081)"
133,SHFPRS,315,1.207008,339,7.197344,"(1.127, -0.433)","(6.719, -2.579)"
134,SHFPRS,316,0.983488,328,5.319776,"(0.834, -0.521)","(4.511, -2.819)"
135,SHFPRS,317,0.715264,317,5.006848,"(0.523, -0.488)","(3.662, -3.415)"
136,SHFPRS,318,0.89408,102,6.48208,"(-0.186, 0.875)","(-1.348, 6.34)"
137,SHFPRS,319,0.89408,59,4.604512000000001,"(0.46, 0.766)","(2.371, 3.947)"
138,SHFPRS,320,0.983488,286,7.778496,"(0.271, -0.945)","(2.144, -7.477)"
139,SHFPRS,321,0.89408,266,5.409184,"(-0.062, -0.892)","(-0.377, -5.396)"
140,SHFPRS,322,1.1176,292,8.583167999999999,"(0.419, -1.036)","(3.215, -7.958)"
141,SHFPRS,323,1.1176,267,9.61136,"(-0.058, -1.116)","(-0.503, -9.598)"
142,SHFPRS,324,0.581152,297,4.291583999999999,"(0.264, -0.518)","(1.948, -3.824)"
143,SHFPRS,325,0.804672,213,6.3032639999999995,"(-0.675, -0.438)","(-5.286, -3.433)"
144,SHFPRS,326,0.402336,227,5.096256,"(-0.274, -0.294)","(-3.476, -3.727)"
145,SHFPRS,327,0.312928,198,3.621024,"(-0.298, -0.097)","(-3.444, -1.119)"
146,SHFPRS,328,0.402336,199,3.7104320000000004,"(-0.38, -0.131)","(-3.508, -1.208)"
147,SHFPRS,329,0.804672,323,4.515104,"(0.643, -0.484)","(3.606, -2.717)"
148,SHFPRS,330,0.491744,130,3.889248,"(-0.316, 0.377)","(-2.5, 2.979)"
