Day,station,day,speed,direction,gust,avgvect,gustvect
0,SIPAC,1,1.922272,219,7.5102720000000005,"(-1.494, -1.21)","(-5.837, -4.726)"
1,SIPAC,2,3.486912,331,9.119615999999999,"(3.05, -1.69)","(7.976, -4.421)"
2,SIPAC,3,1.385824,348,10.416032,"(1.356, -0.288)","(10.188, -2.166)"
3,SIPAC,4,2.414016,171,12.51712,"(-2.384, 0.378)","(-12.363, 1.958)"
4,SIPAC,5,4.515104,247,11.980672,"(-1.764, -4.156)","(-4.681, -11.028)"
5,SIPAC,6,2.90576,310,8.49376,"(1.868, -2.226)","(5.46, -6.507)"
6,SIPAC,7,1.6987519999999998,283,8.49376,"(0.382, -1.655)","(1.911, -8.276)"
7,SIPAC,8,2.503424,143,10.416032,"(-1.999, 1.507)","(-8.319, 6.269)"
8,SIPAC,9,3.621024,300,12.51712,"(1.811, -3.136)","(6.259, -10.84)"
9,SIPAC,10,2.2799039999999997,287,9.61136,"(0.667, -2.18)","(2.81, -9.191)"
10,SIPAC,11,1.609344,180,8.314944,"(-1.609, 0.0)","(-8.315, 0.0)"
11,SIPAC,12,2.101088,208,11.220704000000001,"(-1.855, -0.986)","(-9.907, -5.268)"
12,SIPAC,13,1.6987519999999998,288,6.884416,"(0.525, -1.616)","(2.127, -6.547)"
13,SIPAC,14,1.609344,45,6.079744,"(1.138, 1.138)","(4.299, 4.299)"
14,SIPAC,15,3.978656,49,10.684256,"(2.61, 3.003)","(7.01, 8.064)"
15,SIPAC,16,3.621024,357,8.49376,"(3.616, -0.19)","(8.482, -0.445)"
16,SIPAC,17,2.68224,288,9.879584000000001,"(0.829, -2.551)","(3.053, -9.396)"
17,SIPAC,18,1.6987519999999998,170,9.298432,"(-1.673, 0.295)","(-9.157, 1.615)"
18,SIPAC,19,3.308096,282,9.61136,"(0.688, -3.236)","(1.998, -9.401)"
19,SIPAC,20,3.7104320000000004,353,8.806688,"(3.683, -0.452)","(8.741, -1.073)"
20,SIPAC,21,2.2799039999999997,35,7.689088,"(1.868, 1.308)","(6.299, 4.41)"
21,SIPAC,22,1.207008,216,7.5102720000000005,"(-0.976, -0.709)","(-6.076, -4.414)"
22,SIPAC,23,2.68224,263,11.712448,"(-0.327, -2.662)","(-1.427, -11.625)"
23,SIPAC,24,2.503424,227,11.220704000000001,"(-1.707, -1.831)","(-7.653, -8.206)"
