Day,station,day,speed,direction,gust,avgvect,gustvect
0,SWPAC,1,0.491744,292,7.5102720000000005,"(0.184, -0.456)","(2.813, -6.963)"
1,SWPAC,2,1.1176,290,9.119615999999999,"(0.382, -1.05)","(3.119, -8.57)"
2,SWPAC,3,0.0,295,4.291583999999999,"(0.0, -0.0)","(1.814, -3.889)"
3,SWPAC,4,0.983488,148,11.980672,"(-0.834, 0.521)","(-10.16, 6.349)"
4,SWPAC,5,2.90576,246,13.098272,"(-1.182, -2.655)","(-5.328, -11.966)"
5,SWPAC,6,1.6987519999999998,282,9.119615999999999,"(0.353, -1.662)","(1.896, -8.92)"
6,SWPAC,7,0.491744,287,7.197344,"(0.144, -0.47)","(2.104, -6.883)"
7,SWPAC,8,1.207008,124,10.684256,"(-0.675, 1.001)","(-5.975, 8.858)"
8,SWPAC,9,1.922272,279,11.220704000000001,"(0.301, -1.899)","(1.755, -11.083)"
9,SWPAC,10,0.178816,266,7.689088,"(-0.012, -0.178)","(-0.536, -7.67)"
10,SWPAC,11,0.178816,152,8.002016,"(-0.158, 0.084)","(-7.065, 3.757)"
11,SWPAC,12,1.519936,166,5.096256,"(-1.475, 0.368)","(-4.945, 1.233)"
12,SWPAC,13,2.2799039999999997,291,6.392672,"(0.817, -2.128)","(2.291, -5.968)"
13,SWPAC,14,1.609344,60,4.783328,"(0.805, 1.394)","(2.392, 4.142)"
14,SWPAC,15,3.3975039999999996,59,8.806688,"(1.75, 2.912)","(4.536, 7.549)"
15,SWPAC,16,3.084576,339,9.119615999999999,"(2.88, -1.105)","(8.514, -3.268)"
16,SWPAC,17,3.486912,295,9.298432,"(1.474, -3.16)","(3.93, -8.427)"
17,SWPAC,18,2.503424,168,8.314944,"(-2.449, 0.52)","(-8.133, 1.729)"
18,SWPAC,19,3.7104320000000004,314,10.103104,"(2.577, -2.669)","(7.018, -7.268)"
19,SWPAC,20,3.308096,344,9.298432,"(3.18, -0.912)","(8.938, -2.563)"
20,SWPAC,21,1.78816,39,6.884416,"(1.39, 1.125)","(5.35, 4.333)"
21,SWPAC,22,1.519936,213,8.002016,"(-1.275, -0.828)","(-6.711, -4.358)"
22,SWPAC,23,2.995168,276,11.488928,"(0.313, -2.979)","(1.201, -11.426)"
23,SWPAC,24,2.592832,243,10.907775999999998,"(-1.177, -2.31)","(-4.952, -9.719)"
24,SWPAC,25,3.3975039999999996,335,9.298432,"(3.079, -1.436)","(8.427, -3.93)"
25,SWPAC,26,1.6987519999999998,332,7.5102720000000005,"(1.5, -0.798)","(6.631, -3.526)"
26,SWPAC,27,1.78816,209,6.884416,"(-1.564, -0.867)","(-6.021, -3.338)"
27,SWPAC,28,2.90576,321,10.416032,"(2.258, -1.829)","(8.095, -6.555)"
28,SWPAC,29,1.6987519999999998,179,6.7056,"(-1.698, 0.03)","(-6.705, 0.117)"
29,SWPAC,30,2.68224,290,8.806688,"(0.917, -2.52)","(3.012, -8.276)"
30,SWPAC,31,1.609344,141,6.392672,"(-1.251, 1.013)","(-4.968, 4.023)"
31,SWPAC,32,2.90576,160,9.879584000000001,"(-2.731, 0.994)","(-9.284, 3.379)"
32,SWPAC,33,1.78816,124,8.314944,"(-1.0, 1.482)","(-4.65, 6.893)"
33,SWPAC,34,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
34,SWPAC,35,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
35,SWPAC,36,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
36,SWPAC,37,1.1176,180,6.884416,"(-1.118, 0.0)","(-6.884, 0.0)"
37,SWPAC,38,2.2799039999999997,288,6.884416,"(0.705, -2.168)","(2.127, -6.547)"
38,SWPAC,39,2.503424,170,9.119615999999999,"(-2.465, 0.435)","(-8.981, 1.584)"
39,SWPAC,40,2.01168,226,7.197344,"(-1.397, -1.447)","(-5.0, -5.177)"
40,SWPAC,41,2.2799039999999997,269,7.5102720000000005,"(-0.04, -2.28)","(-0.131, -7.509)"
41,SWPAC,42,2.592832,233,10.907775999999998,"(-1.56, -2.071)","(-6.564, -8.711)"
42,SWPAC,43,4.291583999999999,308,11.488928,"(2.642, -3.382)","(7.073, -9.053)"
43,SWPAC,44,2.101088,320,7.689088,"(1.61, -1.351)","(5.89, -4.942)"
44,SWPAC,45,1.385824,130,4.783328,"(-0.891, 1.062)","(-3.075, 3.664)"
45,SWPAC,46,2.8163519999999997,126,8.002016,"(-1.655, 2.278)","(-4.703, 6.474)"
46,SWPAC,47,3.79984,173,13.590015999999999,"(-3.772, 0.463)","(-13.489, 1.656)"
47,SWPAC,48,2.8163519999999997,336,13.902944,"(2.573, -1.146)","(12.701, -5.655)"
48,SWPAC,49,3.084576,278,10.684256,"(0.429, -3.055)","(1.487, -10.58)"
49,SWPAC,50,3.218688,314,12.2936,"(2.236, -2.315)","(8.54, -8.843)"
50,SWPAC,51,2.995168,176,11.220704000000001,"(-2.988, 0.209)","(-11.193, 0.783)"
51,SWPAC,52,3.084576,166,16.316959999999998,"(-2.993, 0.746)","(-15.832, 3.947)"
52,SWPAC,53,3.978656,244,12.51712,"(-1.744, -3.576)","(-5.487, -11.25)"
53,SWPAC,54,3.7104320000000004,339,9.298432,"(3.464, -1.33)","(8.681, -3.332)"
54,SWPAC,55,1.78816,45,7.197344,"(1.264, 1.264)","(5.089, 5.089)"
55,SWPAC,56,3.79984,303,9.61136,"(2.07, -3.187)","(5.235, -8.061)"
56,SWPAC,57,1.519936,321,4.515104,"(1.181, -0.957)","(3.509, -2.841)"
57,SWPAC,58,1.519936,277,6.884416,"(0.185, -1.509)","(0.839, -6.833)"
58,SWPAC,59,1.6987519999999998,192,7.5102720000000005,"(-1.662, -0.353)","(-7.346, -1.561)"
59,SWPAC,60,1.78816,210,7.5102720000000005,"(-1.549, -0.894)","(-6.504, -3.755)"
60,SWPAC,61,1.609344,197,6.392672,"(-1.539, -0.471)","(-6.113, -1.869)"
61,SWPAC,62,2.68224,21,8.314944,"(2.504, 0.961)","(7.763, 2.98)"
62,SWPAC,63,2.995168,93,7.197344,"(-0.157, 2.991)","(-0.377, 7.187)"
63,SWPAC,64,3.486912,172,13.098272,"(-3.453, 0.485)","(-12.971, 1.823)"
64,SWPAC,65,2.995168,251,12.51712,"(-0.975, -2.832)","(-4.075, -11.835)"
65,SWPAC,66,4.69392,306,13.902944,"(2.759, -3.797)","(8.172, -11.248)"
66,SWPAC,67,1.519936,359,6.079744,"(1.52, -0.027)","(6.079, -0.106)"
67,SWPAC,68,1.78816,343,5.9009279999999995,"(1.71, -0.523)","(5.643, -1.725)"
68,SWPAC,69,1.6987519999999998,14,6.884416,"(1.648, 0.411)","(6.68, 1.665)"
69,SWPAC,70,3.79984,326,11.712448,"(3.15, -2.125)","(9.71, -6.55)"
70,SWPAC,71,4.69392,308,12.785344,"(2.89, -3.699)","(7.871, -10.075)"
71,SWPAC,72,2.995168,199,11.488928,"(-2.832, -0.975)","(-10.863, -3.74)"
72,SWPAC,73,2.592832,182,9.879584000000001,"(-2.591, -0.09)","(-9.874, -0.345)"
73,SWPAC,74,1.385824,198,5.319776,"(-1.318, -0.428)","(-5.059, -1.644)"
74,SWPAC,75,1.6987519999999998,145,7.5102720000000005,"(-1.392, 0.974)","(-6.152, 4.308)"
75,SWPAC,76,1.609344,164,7.197344,"(-1.547, 0.444)","(-6.919, 1.984)"
76,SWPAC,77,2.190496,140,18.418048000000002,"(-1.678, 1.408)","(-14.109, 11.839)"
77,SWPAC,78,2.995168,260,11.712448,"(-0.52, -2.95)","(-2.034, -11.535)"
78,SWPAC,79,1.6987519999999998,202,6.7056,"(-1.575, -0.636)","(-6.217, -2.512)"
79,SWPAC,80,2.190496,154,8.002016,"(-1.969, 0.96)","(-7.192, 3.508)"
80,SWPAC,81,3.486912,117,12.785344,"(-1.583, 3.107)","(-5.804, 11.392)"
81,SWPAC,82,2.995168,201,12.51712,"(-2.796, -1.073)","(-11.686, -4.486)"
82,SWPAC,83,2.592832,224,9.879584000000001,"(-1.865, -1.801)","(-7.107, -6.863)"
83,SWPAC,84,3.084576,275,14.08176,"(0.269, -3.073)","(1.227, -14.028)"
84,SWPAC,85,5.185664,304,12.785344,"(2.9, -4.299)","(7.149, -10.6)"
85,SWPAC,86,2.68224,320,8.49376,"(2.055, -1.724)","(6.507, -5.46)"
86,SWPAC,87,1.6987519999999998,47,5.096256,"(1.159, 1.242)","(3.476, 3.727)"
87,SWPAC,88,4.380992,103,12.785344,"(-0.986, 4.269)","(-2.876, 12.458)"
88,SWPAC,89,3.79984,157,14.707616,"(-3.498, 1.485)","(-13.538, 5.747)"
89,SWPAC,90,3.621024,262,12.785344,"(-0.504, -3.586)","(-1.779, -12.661)"
90,SWPAC,91,2.592832,298,11.488928,"(1.217, -2.289)","(5.394, -10.144)"
91,SWPAC,92,2.90576,211,12.785344,"(-2.491, -1.497)","(-10.959, -6.585)"
92,SWPAC,93,1.78816,284,7.5102720000000005,"(0.433, -1.735)","(1.817, -7.287)"
93,SWPAC,94,2.01168,184,8.314944,"(-2.007, -0.14)","(-8.295, -0.58)"
94,SWPAC,95,2.190496,125,6.7056,"(-1.256, 1.794)","(-3.846, 5.493)"
95,SWPAC,96,2.592832,258,9.61136,"(-0.539, -2.536)","(-1.998, -9.401)"
96,SWPAC,97,3.218688,272,11.220704000000001,"(0.112, -3.217)","(0.392, -11.214)"
97,SWPAC,98,3.3975039999999996,280,11.712448,"(0.59, -3.346)","(2.034, -11.535)"
98,SWPAC,99,3.218688,295,10.907775999999998,"(1.36, -2.917)","(4.61, -9.886)"
99,SWPAC,100,3.308096,134,12.785344,"(-2.298, 2.38)","(-8.881, 9.197)"
100,SWPAC,101,2.592832,190,10.684256,"(-2.553, -0.45)","(-10.522, -1.855)"
101,SWPAC,102,2.90576,138,8.806688,"(-2.159, 1.944)","(-6.545, 5.893)"
102,SWPAC,103,3.79984,195,16.495776,"(-3.67, -0.983)","(-15.934, -4.269)"
103,SWPAC,104,2.90576,254,12.51712,"(-0.801, -2.793)","(-3.45, -12.032)"
104,SWPAC,105,2.68224,206,9.61136,"(-2.411, -1.176)","(-8.639, -4.213)"
105,SWPAC,106,2.995168,329,8.806688,"(2.567, -1.543)","(7.549, -4.536)"
106,SWPAC,107,2.995168,76,9.879584000000001,"(0.725, 2.906)","(2.39, 9.586)"
107,SWPAC,108,5.409184,305,13.098272,"(3.103, -4.431)","(7.513, -10.729)"
108,SWPAC,109,2.592832,298,8.314944,"(1.217, -2.289)","(3.904, -7.342)"
109,SWPAC,110,3.3975039999999996,139,15.512288000000002,"(-2.564, 2.229)","(-11.707, 10.177)"
110,SWPAC,111,2.01168,221,10.907775999999998,"(-1.518, -1.32)","(-8.232, -7.156)"
111,SWPAC,112,2.592832,141,9.879584000000001,"(-2.015, 1.632)","(-7.678, 6.217)"
112,SWPAC,113,3.308096,176,11.488928,"(-3.3, 0.231)","(-11.461, 0.801)"
113,SWPAC,114,3.308096,188,13.321792,"(-3.276, -0.46)","(-13.192, -1.854)"
114,SWPAC,115,0.715264,310,13.590015999999999,"(0.46, -0.548)","(8.735, -10.411)"
115,SWPAC,116,0.0,296,6.7056,"(0.0, -0.0)","(2.94, -6.027)"
116,SWPAC,117,0.89408,189,6.079744,"(-0.883, -0.14)","(-6.005, -0.951)"
117,SWPAC,118,2.68224,111,7.689088,"(-0.961, 2.504)","(-2.756, 7.178)"
118,SWPAC,119,2.995168,104,8.002016,"(-0.725, 2.906)","(-1.936, 7.764)"
119,SWPAC,120,2.995168,156,10.907775999999998,"(-2.736, 1.218)","(-9.965, 4.437)"
120,SWPAC,121,2.68224,272,11.220704000000001,"(0.094, -2.681)","(0.392, -11.214)"
121,SWPAC,122,1.1176,83,4.291583999999999,"(0.136, 1.109)","(0.523, 4.26)"
122,SWPAC,123,3.978656,265,11.980672,"(-0.347, -3.964)","(-1.044, -11.935)"
123,SWPAC,124,2.101088,7,6.392672,"(2.085, 0.256)","(6.345, 0.779)"
124,SWPAC,125,2.190496,109,8.002016,"(-0.713, 2.071)","(-2.605, 7.566)"
125,SWPAC,126,2.190496,308,8.806688,"(1.349, -1.726)","(5.422, -6.94)"
126,SWPAC,127,2.190496,10,9.119615999999999,"(2.157, 0.38)","(8.981, 1.584)"
127,SWPAC,128,2.8163519999999997,114,9.119615999999999,"(-1.146, 2.573)","(-3.709, 8.331)"
128,SWPAC,129,3.621024,133,10.684256,"(-2.47, 2.648)","(-7.287, 7.814)"
129,SWPAC,130,2.190496,159,8.49376,"(-2.045, 0.785)","(-7.93, 3.044)"
130,SWPAC,131,1.609344,136,5.588,"(-1.158, 1.118)","(-4.02, 3.882)"
131,SWPAC,132,1.922272,118,6.392672,"(-0.902, 1.697)","(-3.001, 5.644)"
132,SWPAC,133,1.78816,128,6.7056,"(-1.101, 1.409)","(-4.128, 5.284)"
133,SWPAC,134,2.01168,136,12.51712,"(-1.447, 1.397)","(-9.004, 8.695)"
134,SWPAC,135,1.6987519999999998,343,9.879584000000001,"(1.625, -0.497)","(9.448, -2.889)"
135,SWPAC,136,2.592832,310,9.61136,"(1.667, -1.986)","(6.178, -7.363)"
136,SWPAC,137,1.6987519999999998,274,7.689088,"(0.118, -1.695)","(0.536, -7.67)"
137,SWPAC,138,1.6987519999999998,170,9.298432,"(-1.673, 0.295)","(-9.157, 1.615)"
138,SWPAC,139,2.101088,144,10.103104,"(-1.7, 1.235)","(-8.174, 5.938)"
139,SWPAC,140,2.90576,174,12.51712,"(-2.89, 0.304)","(-12.449, 1.308)"
140,SWPAC,141,2.2799039999999997,198,13.902944,"(-2.168, -0.705)","(-13.222, -4.296)"
141,SWPAC,142,2.414016,336,8.002016,"(2.205, -0.982)","(7.31, -3.255)"
142,SWPAC,143,2.01168,56,10.416032,"(1.125, 1.668)","(5.825, 8.635)"
143,SWPAC,144,2.90576,97,11.980672,"(-0.354, 2.884)","(-1.46, 11.891)"
144,SWPAC,145,3.308096,137,12.2936,"(-2.419, 2.256)","(-8.991, 8.384)"
145,SWPAC,146,2.414016,146,10.907775999999998,"(-2.001, 1.35)","(-9.043, 6.1)"
146,SWPAC,147,2.2799039999999997,299,9.119615999999999,"(1.105, -1.994)","(4.421, -7.976)"
147,SWPAC,148,1.296416,171,6.392672,"(-1.28, 0.203)","(-6.314, 1.0)"
148,SWPAC,149,2.2799039999999997,148,8.806688,"(-1.933, 1.208)","(-7.468, 4.667)"
149,SWPAC,150,2.503424,156,9.61136,"(-2.287, 1.018)","(-8.78, 3.909)"
150,SWPAC,151,2.01168,168,8.314944,"(-1.968, 0.418)","(-8.133, 1.729)"
151,SWPAC,152,1.519936,288,7.689088,"(0.47, -1.446)","(2.376, -7.313)"
152,SWPAC,153,1.78816,319,7.197344,"(1.35, -1.173)","(5.432, -4.722)"
153,SWPAC,154,1.296416,312,6.392672,"(0.867, -0.963)","(4.278, -4.751)"
154,SWPAC,155,1.1176,146,5.096256,"(-0.927, 0.625)","(-4.225, 2.85)"
155,SWPAC,156,1.385824,149,5.9009279999999995,"(-1.188, 0.714)","(-5.058, 3.039)"
156,SWPAC,157,1.922272,163,8.314944,"(-1.838, 0.562)","(-7.952, 2.431)"
157,SWPAC,158,1.296416,266,5.9009279999999995,"(-0.09, -1.293)","(-0.412, -5.887)"
158,SWPAC,159,2.90576,321,11.980672,"(2.258, -1.829)","(9.311, -7.54)"
159,SWPAC,160,1.922272,311,6.884416,"(1.261, -1.451)","(4.517, -5.196)"
160,SWPAC,161,0.983488,132,4.291583999999999,"(-0.658, 0.731)","(-2.872, 3.189)"
161,SWPAC,162,1.922272,145,6.079744,"(-1.575, 1.103)","(-4.98, 3.487)"
162,SWPAC,163,1.922272,158,7.197344,"(-1.782, 0.72)","(-6.673, 2.696)"
163,SWPAC,164,1.922272,168,6.7056,"(-1.88, 0.4)","(-6.559, 1.394)"
164,SWPAC,165,1.78816,200,7.5102720000000005,"(-1.68, -0.612)","(-7.057, -2.569)"
165,SWPAC,166,2.01168,179,8.314944,"(-2.011, 0.035)","(-8.314, 0.145)"
166,SWPAC,167,1.78816,249,6.884416,"(-0.641, -1.669)","(-2.467, -6.427)"
167,SWPAC,168,2.190496,289,16.495776,"(0.713, -2.071)","(5.37, -15.597)"
168,SWPAC,169,1.1176,44,6.884416,"(0.804, 0.776)","(4.952, 4.782)"
169,SWPAC,170,1.6987519999999998,108,8.002016,"(-0.525, 1.616)","(-2.473, 7.61)"
170,SWPAC,171,1.296416,152,5.9009279999999995,"(-1.145, 0.609)","(-5.21, 2.77)"
171,SWPAC,172,1.385824,207,6.079744,"(-1.235, -0.629)","(-5.417, -2.76)"
172,SWPAC,173,2.101088,311,9.298432,"(1.378, -1.586)","(6.1, -7.018)"
173,SWPAC,174,1.1176,10,6.884416,"(1.101, 0.194)","(6.78, 1.195)"
174,SWPAC,175,0.983488,108,5.319776,"(-0.304, 0.935)","(-1.644, 5.059)"
175,SWPAC,176,1.385824,135,5.096256,"(-0.98, 0.98)","(-3.604, 3.604)"
176,SWPAC,177,2.8163519999999997,312,14.08176,"(1.885, -2.093)","(9.423, -10.465)"
177,SWPAC,178,1.78816,336,6.7056,"(1.634, -0.727)","(6.126, -2.727)"
178,SWPAC,179,1.1176,116,5.588,"(-0.49, 1.004)","(-2.45, 5.022)"
179,SWPAC,180,0.983488,153,4.291583999999999,"(-0.876, 0.446)","(-3.824, 1.948)"
180,SWPAC,181,1.519936,178,6.884416,"(-1.519, 0.053)","(-6.88, 0.24)"
181,SWPAC,182,1.609344,225,7.689088,"(-1.138, -1.138)","(-5.437, -5.437)"
182,SWPAC,183,1.207008,5,7.5102720000000005,"(1.202, 0.105)","(7.482, 0.655)"
183,SWPAC,184,1.385824,92,5.9009279999999995,"(-0.048, 1.385)","(-0.206, 5.897)"
184,SWPAC,185,1.519936,146,6.079744,"(-1.26, 0.85)","(-5.04, 3.4)"
185,SWPAC,186,1.296416,211,5.319776,"(-1.111, -0.668)","(-4.56, -2.74)"
186,SWPAC,187,1.78816,293,8.806688,"(0.699, -1.646)","(3.441, -8.107)"
187,SWPAC,188,1.207008,129,8.002016,"(-0.76, 0.938)","(-5.036, 6.219)"
188,SWPAC,189,2.01168,107,7.197344,"(-0.588, 1.924)","(-2.104, 6.883)"
189,SWPAC,190,2.101088,58,8.49376,"(1.113, 1.782)","(4.501, 7.203)"
190,SWPAC,191,0.89408,2,5.319776,"(0.894, 0.031)","(5.317, 0.186)"
191,SWPAC,192,1.207008,202,5.9009279999999995,"(-1.119, -0.452)","(-5.471, -2.211)"
192,SWPAC,193,2.101088,322,8.002016,"(1.656, -1.294)","(6.306, -4.927)"
193,SWPAC,194,1.385824,304,5.9009279999999995,"(0.775, -1.149)","(3.3, -4.892)"
194,SWPAC,195,0.715264,0,3.978656,"(0.715, 0.0)","(3.979, 0.0)"
195,SWPAC,196,1.296416,134,4.291583999999999,"(-0.901, 0.933)","(-2.981, 3.087)"
196,SWPAC,197,2.190496,161,8.806688,"(-2.071, 0.713)","(-8.327, 2.867)"
197,SWPAC,198,1.385824,228,5.9009279999999995,"(-0.927, -1.03)","(-3.948, -4.385)"
198,SWPAC,199,1.207008,299,3.978656,"(0.585, -1.056)","(1.929, -3.48)"
199,SWPAC,200,0.983488,165,5.9009279999999995,"(-0.95, 0.255)","(-5.7, 1.527)"
200,SWPAC,201,1.922272,244,7.5102720000000005,"(-0.843, -1.728)","(-3.292, -6.75)"
201,SWPAC,202,1.519936,291,5.319776,"(0.545, -1.419)","(1.906, -4.966)"
202,SWPAC,203,1.1176,256,5.319776,"(-0.27, -1.084)","(-1.287, -5.162)"
203,SWPAC,204,1.609344,148,5.9009279999999995,"(-1.365, 0.853)","(-5.004, 3.127)"
204,SWPAC,205,2.2799039999999997,179,11.220704000000001,"(-2.28, 0.04)","(-11.219, 0.196)"
205,SWPAC,206,1.207008,329,5.096256,"(1.035, -0.622)","(4.368, -2.625)"
206,SWPAC,207,1.296416,147,4.783328,"(-1.087, 0.706)","(-4.012, 2.605)"
207,SWPAC,208,1.6987519999999998,219,7.197344,"(-1.32, -1.069)","(-5.593, -4.529)"
208,SWPAC,209,0.983488,249,7.197344,"(-0.352, -0.918)","(-2.579, -6.719)"
209,SWPAC,210,1.385824,328,7.197344,"(1.175, -0.734)","(6.104, -3.814)"
210,SWPAC,211,0.89408,106,5.319776,"(-0.246, 0.859)","(-1.466, 5.114)"
