Day,station,day,speed,direction,gust,avgvect,gustvect
0,TPAC,1,3.218688,35,9.119615999999999,"(2.637, 1.846)","(7.47, 5.231)"
1,TPAC,2,3.218688,27,9.61136,"(2.868, 1.461)","(8.564, 4.363)"
2,TPAC,3,2.90576,271,6.079744,"(0.051, -2.905)","(0.106, -6.079)"
3,TPAC,4,4.91744,201,14.886432,"(-4.591, -1.762)","(-13.898, -5.335)"
4,TPAC,5,7.778496,269,16.316959999999998,"(-0.136, -7.777)","(-0.285, -16.314)"
5,TPAC,6,4.515104,301,9.298432,"(2.325, -3.87)","(4.789, -7.97)"
6,TPAC,7,3.308096,276,8.49376,"(0.346, -3.29)","(0.888, -8.447)"
7,TPAC,8,4.291583999999999,188,10.907775999999998,"(-4.25, -0.597)","(-10.802, -1.518)"
8,TPAC,9,4.783328,304,13.098272,"(2.675, -3.966)","(7.324, -10.859)"
9,TPAC,10,3.621024,298,9.298432,"(1.7, -3.197)","(4.365, -8.21)"
10,TPAC,11,4.604512000000001,211,14.08176,"(-3.947, -2.371)","(-12.07, -7.253)"
11,TPAC,12,3.889248,230,11.712448,"(-2.5, -2.979)","(-7.529, -8.972)"
12,TPAC,13,1.6987519999999998,311,5.588,"(1.114, -1.282)","(3.666, -4.217)"
13,TPAC,14,2.414016,87,8.002016,"(0.126, 2.411)","(0.419, 7.991)"
14,TPAC,15,5.006848,83,10.907775999999998,"(0.61, 4.97)","(1.329, 10.826)"
15,TPAC,16,2.503424,28,7.197344,"(2.21, 1.175)","(6.355, 3.379)"
16,TPAC,17,4.112768,309,9.61136,"(2.588, -3.196)","(6.049, -7.469)"
17,TPAC,18,5.185664,211,13.902944,"(-4.445, -2.671)","(-11.917, -7.161)"
18,TPAC,19,5.006848,294,15.19936,"(2.036, -4.574)","(6.182, -13.885)"
19,TPAC,20,2.190496,349,6.884416,"(2.15, -0.418)","(6.758, -1.314)"
20,TPAC,21,1.922272,105,6.7056,"(-0.498, 1.857)","(-1.736, 6.477)"
21,TPAC,22,4.515104,243,11.980672,"(-2.05, -4.023)","(-5.439, -10.675)"
22,TPAC,23,3.889248,266,13.098272,"(-0.271, -3.88)","(-0.914, -13.066)"
23,TPAC,24,4.69392,259,10.684256,"(-0.896, -4.608)","(-2.039, -10.488)"
24,TPAC,25,2.90576,323,7.689088,"(2.321, -1.749)","(6.141, -4.627)"
25,TPAC,26,2.2799039999999997,273,5.588,"(0.119, -2.277)","(0.292, -5.58)"
26,TPAC,27,4.69392,237,10.416032,"(-2.556, -3.937)","(-5.673, -8.736)"
27,TPAC,28,2.503424,43,9.298432,"(1.831, 1.707)","(6.8, 6.342)"
28,TPAC,29,2.01168,221,6.884416,"(-1.518, -1.32)","(-5.196, -4.517)"
29,TPAC,30,1.78816,298,6.7056,"(0.839, -1.579)","(3.148, -5.921)"
30,TPAC,31,1.922272,160,6.884416,"(-1.806, 0.657)","(-6.469, 2.355)"
31,TPAC,32,5.006848,201,15.691104000000001,"(-4.674, -1.794)","(-14.649, -5.623)"
32,TPAC,33,4.291583999999999,38,11.712448,"(3.382, 2.642)","(9.23, 7.211)"
33,TPAC,34,5.498592,41,11.220704000000001,"(4.15, 3.607)","(8.468, 7.361)"
34,TPAC,35,3.084576,328,11.220704000000001,"(2.616, -1.635)","(9.516, -5.946)"
35,TPAC,36,2.90576,237,9.61136,"(-1.583, -2.437)","(-5.235, -8.061)"
36,TPAC,37,4.783328,209,10.684256,"(-4.184, -2.319)","(-9.345, -5.18)"
37,TPAC,38,3.218688,271,6.884416,"(0.056, -3.218)","(0.12, -6.883)"
38,TPAC,39,3.79984,202,11.712448,"(-3.523, -1.423)","(-10.86, -4.388)"
39,TPAC,40,4.604512000000001,247,9.879584000000001,"(-1.799, -4.238)","(-3.86, -9.094)"
40,TPAC,41,4.291583999999999,271,10.907775999999998,"(0.075, -4.291)","(0.19, -10.906)"
41,TPAC,42,5.81152,241,12.2936,"(-2.817, -5.083)","(-5.96, -10.752)"
42,TPAC,43,3.79984,315,10.684256,"(2.687, -2.687)","(7.555, -7.555)"
43,TPAC,44,2.414016,288,6.7056,"(0.746, -2.296)","(2.072, -6.377)"
44,TPAC,45,1.922272,218,4.783328,"(-1.515, -1.183)","(-3.769, -2.945)"
45,TPAC,46,2.90576,138,9.298432,"(-2.159, 1.944)","(-6.91, 6.222)"
46,TPAC,47,8.49376,209,16.316959999999998,"(-7.429, -4.118)","(-14.271, -7.911)"
47,TPAC,48,3.486912,218,19.178016,"(-2.748, -2.147)","(-15.112, -11.807)"
48,TPAC,49,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
49,TPAC,50,4.291583999999999,306,17.613376,"(2.523, -3.472)","(10.353, -14.25)"
50,TPAC,51,5.9009279999999995,211,14.886432,"(-5.058, -3.039)","(-12.76, -7.667)"
51,TPAC,52,4.291583999999999,198,15.512288000000002,"(-4.082, -1.326)","(-14.753, -4.794)"
52,TPAC,53,6.079744,241,15.19936,"(-2.948, -5.317)","(-7.369, -13.294)"
53,TPAC,54,3.79984,341,10.684256,"(3.593, -1.237)","(10.102, -3.478)"
54,TPAC,55,3.889248,76,12.2936,"(0.941, 3.774)","(2.974, 11.928)"
55,TPAC,56,0.0,0,0.0,"(0.0, 0.0)","(0.0, 0.0)"
56,TPAC,57,1.207008,251,6.079744,"(-0.393, -1.141)","(-1.979, -5.749)"
57,TPAC,58,2.592832,265,7.689088,"(-0.226, -2.583)","(-0.67, -7.66)"
58,TPAC,59,2.995168,217,9.298432,"(-2.392, -1.803)","(-7.426, -5.596)"
59,TPAC,60,3.486912,252,8.002016,"(-1.078, -3.316)","(-2.473, -7.61)"
60,TPAC,61,2.101088,224,11.488928,"(-1.511, -1.46)","(-8.264, -7.981)"
61,TPAC,62,3.621024,54,9.61136,"(2.128, 2.929)","(5.649, 7.776)"
62,TPAC,63,3.308096,110,7.689088,"(-1.131, 3.109)","(-2.63, 7.225)"
63,TPAC,64,6.48208,199,18.418048000000002,"(-6.129, -2.11)","(-17.415, -5.996)"
64,TPAC,65,5.319776,275,19.982688,"(0.464, -5.3)","(1.742, -19.907)"
65,TPAC,66,4.783328,336,10.907775999999998,"(4.37, -1.946)","(9.965, -4.437)"
66,TPAC,67,1.78816,274,6.392672,"(0.125, -1.784)","(0.446, -6.377)"
67,TPAC,68,1.6987519999999998,308,8.314944,"(1.046, -1.339)","(5.119, -6.552)"
68,TPAC,69,1.296416,32,6.079744,"(1.099, 0.687)","(5.156, 3.222)"
69,TPAC,70,3.79984,327,11.980672,"(3.187, -2.07)","(10.048, -6.525)"
70,TPAC,71,4.91744,310,18.10512,"(3.161, -3.767)","(11.638, -13.869)"
71,TPAC,72,5.990336,236,14.707616,"(-3.35, -4.966)","(-8.224, -12.193)"
72,TPAC,73,5.185664,216,12.2936,"(-4.195, -3.048)","(-9.946, -7.226)"
73,TPAC,74,2.592832,250,8.806688,"(-0.887, -2.436)","(-3.012, -8.276)"
74,TPAC,75,1.922272,219,8.002016,"(-1.494, -1.21)","(-6.219, -5.036)"
75,TPAC,76,2.2799039999999997,228,8.806688,"(-1.526, -1.694)","(-5.893, -6.545)"
76,TPAC,77,2.101088,160,7.689088,"(-1.974, 0.719)","(-7.225, 2.63)"
77,TPAC,78,5.006848,272,11.980672,"(0.175, -5.004)","(0.418, -11.973)"
78,TPAC,79,2.503424,256,9.879584000000001,"(-0.606, -2.429)","(-2.39, -9.586)"
79,TPAC,80,3.218688,215,10.684256,"(-2.637, -1.846)","(-8.752, -6.128)"
80,TPAC,81,4.91744,139,15.19936,"(-3.711, 3.226)","(-11.471, 9.972)"
81,TPAC,82,5.498592,218,15.512288000000002,"(-4.333, -3.385)","(-12.224, -9.55)"
82,TPAC,83,6.213856,241,12.2936,"(-3.013, -5.435)","(-5.96, -10.752)"
83,TPAC,84,5.409184,289,19.982688,"(1.761, -5.114)","(6.506, -18.894)"
84,TPAC,85,4.91744,315,11.488928,"(3.477, -3.477)","(8.124, -8.124)"
85,TPAC,86,3.218688,323,9.879584000000001,"(2.571, -1.937)","(7.89, -5.946)"
86,TPAC,87,1.78816,30,7.5102720000000005,"(1.549, 0.894)","(6.504, 3.755)"
87,TPAC,88,5.185664,123,11.488928,"(-2.824, 4.349)","(-6.257, 9.635)"
88,TPAC,89,5.722112,188,16.316959999999998,"(-5.666, -0.796)","(-16.158, -2.271)"
89,TPAC,90,6.795007999999999,259,17.121631999999998,"(-1.297, -6.67)","(-3.267, -16.807)"
90,TPAC,91,3.218688,309,9.298432,"(2.026, -2.501)","(5.852, -7.226)"
91,TPAC,92,3.978656,242,13.098272,"(-1.868, -3.513)","(-6.149, -11.565)"
92,TPAC,93,1.519936,278,6.884416,"(0.212, -1.505)","(0.958, -6.817)"
93,TPAC,94,3.621024,254,12.51712,"(-0.998, -3.481)","(-3.45, -12.032)"
94,TPAC,95,2.190496,134,7.197344,"(-1.522, 1.576)","(-5.0, 5.177)"
95,TPAC,96,4.515104,247,13.321792,"(-1.764, -4.156)","(-5.205, -12.263)"
96,TPAC,97,5.588,264,13.590015999999999,"(-0.584, -5.557)","(-1.421, -13.516)"
97,TPAC,98,4.515104,283,9.298432,"(1.016, -4.399)","(2.092, -9.06)"
98,TPAC,99,3.308096,314,10.907775999999998,"(2.298, -2.38)","(7.577, -7.846)"
99,TPAC,100,3.79984,162,13.321792,"(-3.614, 1.174)","(-12.67, 4.117)"
100,TPAC,101,1.78816,233,7.689088,"(-1.076, -1.428)","(-4.627, -6.141)"
101,TPAC,102,3.218688,163,9.61136,"(-3.078, 0.941)","(-9.191, 2.81)"
102,TPAC,103,5.990336,217,18.686272,"(-4.784, -3.605)","(-14.924, -11.246)"
103,TPAC,104,6.884416,260,18.10512,"(-1.195, -6.78)","(-3.144, -17.83)"
104,TPAC,105,4.783328,238,16.316959999999998,"(-2.535, -4.056)","(-8.647, -13.838)"
105,TPAC,106,3.218688,315,11.980672,"(2.276, -2.276)","(8.472, -8.472)"
106,TPAC,107,3.889248,91,10.416032,"(-0.068, 3.889)","(-0.182, 10.414)"
107,TPAC,108,4.202176,317,13.590015999999999,"(3.073, -2.866)","(9.939, -9.268)"
108,TPAC,109,3.3975039999999996,308,11.488928,"(2.092, -2.677)","(7.073, -9.053)"
109,TPAC,110,4.69392,171,18.10512,"(-4.636, 0.734)","(-17.882, 2.832)"
110,TPAC,111,3.889248,252,15.19936,"(-1.202, -3.699)","(-4.697, -14.455)"
111,TPAC,112,2.503424,150,10.684256,"(-2.168, 1.252)","(-9.253, 5.342)"
112,TPAC,113,5.722112,200,15.512288000000002,"(-5.377, -1.957)","(-14.577, -5.306)"
113,TPAC,114,7.912608,219,18.10512,"(-6.149, -4.98)","(-14.07, -11.394)"
114,TPAC,115,3.308096,304,9.879584000000001,"(1.85, -2.743)","(5.525, -8.191)"
115,TPAC,116,3.7104320000000004,307,11.712448,"(2.233, -2.963)","(7.049, -9.354)"
116,TPAC,117,2.101088,64,8.002016,"(0.921, 1.888)","(3.508, 7.192)"
117,TPAC,118,3.889248,119,8.49376,"(-1.886, 3.402)","(-4.118, 7.429)"
118,TPAC,119,4.380992,127,10.103104,"(-2.637, 3.499)","(-6.08, 8.069)"
119,TPAC,120,5.319776,160,12.51712,"(-4.999, 1.819)","(-11.762, 4.281)"
120,TPAC,121,4.202176,265,11.980672,"(-0.366, -4.186)","(-1.044, -11.935)"
121,TPAC,122,1.922272,266,7.5102720000000005,"(-0.134, -1.918)","(-0.524, -7.492)"
122,TPAC,123,4.291583999999999,271,10.416032,"(0.075, -4.291)","(0.182, -10.414)"
123,TPAC,124,1.6987519999999998,29,5.319776,"(1.486, 0.824)","(4.653, 2.579)"
124,TPAC,125,2.8163519999999997,104,8.314944,"(-0.681, 2.733)","(-2.012, 8.068)"
125,TPAC,126,3.308096,73,10.416032,"(0.967, 3.164)","(3.045, 9.961)"
126,TPAC,127,4.202176,67,11.712448,"(1.642, 3.868)","(4.576, 10.781)"
127,TPAC,128,3.889248,130,10.907775999999998,"(-2.5, 2.979)","(-7.011, 8.356)"
128,TPAC,129,4.202176,165,12.785344,"(-4.059, 1.088)","(-12.35, 3.309)"
129,TPAC,130,3.621024,196,9.298432,"(-3.481, -0.998)","(-8.938, -2.563)"
130,TPAC,131,2.101088,170,7.5102720000000005,"(-2.069, 0.365)","(-7.396, 1.304)"
131,TPAC,132,2.190496,153,9.119615999999999,"(-1.952, 0.994)","(-8.126, 4.14)"
132,TPAC,133,1.922272,168,8.002016,"(-1.88, 0.4)","(-7.827, 1.664)"
133,TPAC,134,1.385824,179,11.220704000000001,"(-1.386, 0.024)","(-11.219, 0.196)"
134,TPAC,135,2.101088,265,12.785344,"(-0.183, -2.093)","(-1.114, -12.737)"
135,TPAC,136,2.414016,300,10.103104,"(1.207, -2.091)","(5.052, -8.75)"
136,TPAC,137,1.1176,64,6.392672,"(0.49, 1.004)","(2.802, 5.746)"
137,TPAC,138,2.90576,193,7.5102720000000005,"(-2.831, -0.654)","(-7.318, -1.689)"
138,TPAC,139,3.79984,206,11.980672,"(-3.415, -1.666)","(-10.768, -5.252)"
139,TPAC,140,7.689088,215,19.490944,"(-6.299, -4.41)","(-15.966, -11.18)"
140,TPAC,141,2.995168,279,12.2936,"(0.469, -2.958)","(1.923, -12.142)"
141,TPAC,142,2.190496,352,8.49376,"(2.169, -0.305)","(8.411, -1.182)"
142,TPAC,143,3.308096,63,10.103104,"(1.502, 2.948)","(4.587, 9.002)"
143,TPAC,144,3.486912,100,11.220704000000001,"(-0.605, 3.434)","(-1.948, 11.05)"
144,TPAC,145,4.604512000000001,171,16.495776,"(-4.548, 0.72)","(-16.293, 2.581)"
145,TPAC,146,3.978656,184,12.785344,"(-3.969, -0.278)","(-12.754, -0.892)"
146,TPAC,147,2.90576,281,8.314944,"(0.554, -2.852)","(1.587, -8.162)"
147,TPAC,148,2.190496,237,6.884416,"(-1.193, -1.837)","(-3.75, -5.774)"
148,TPAC,149,4.112768,189,10.907775999999998,"(-4.062, -0.643)","(-10.773, -1.706)"
149,TPAC,150,5.722112,203,15.512288000000002,"(-5.267, -2.236)","(-14.279, -6.061)"
150,TPAC,151,5.409184,219,13.590015999999999,"(-4.204, -3.404)","(-10.561, -8.552)"
151,TPAC,152,2.592832,271,9.61136,"(0.045, -2.592)","(0.168, -9.61)"
152,TPAC,153,1.385824,319,8.49376,"(1.046, -0.909)","(6.41, -5.572)"
153,TPAC,154,2.101088,296,10.684256,"(0.921, -1.888)","(4.684, -9.603)"
154,TPAC,155,0.983488,62,10.103104,"(0.462, 0.868)","(4.743, 8.921)"
155,TPAC,156,1.6987519999999998,206,8.806688,"(-1.527, -0.745)","(-7.915, -3.861)"
156,TPAC,157,4.515104,220,11.712448,"(-3.459, -2.902)","(-8.972, -7.529)"
157,TPAC,158,2.8163519999999997,302,6.884416,"(1.492, -2.388)","(3.648, -5.838)"
158,TPAC,159,2.2799039999999997,179,11.980672,"(-2.28, 0.04)","(-11.979, 0.209)"
159,TPAC,160,2.101088,305,7.689088,"(1.205, -1.721)","(4.41, -6.299)"
160,TPAC,161,0.983488,265,7.689088,"(-0.086, -0.98)","(-0.67, -7.66)"
161,TPAC,162,2.190496,191,8.002016,"(-2.15, -0.418)","(-7.855, -1.527)"
162,TPAC,163,1.296416,200,6.392672,"(-1.218, -0.443)","(-6.007, -2.186)"
163,TPAC,164,2.101088,191,8.49376,"(-2.062, -0.401)","(-8.338, -1.621)"
164,TPAC,165,3.621024,220,9.61136,"(-2.774, -2.328)","(-7.363, -6.178)"
165,TPAC,166,4.515104,215,11.220704000000001,"(-3.699, -2.59)","(-9.191, -6.436)"
166,TPAC,167,4.291583999999999,251,11.712448,"(-1.397, -4.058)","(-3.813, -11.074)"
167,TPAC,168,1.922272,330,8.49376,"(1.665, -0.961)","(7.356, -4.247)"
168,TPAC,169,2.68224,51,7.689088,"(1.688, 2.084)","(4.839, 5.976)"
169,TPAC,170,1.296416,176,6.392672,"(-1.293, 0.09)","(-6.377, 0.446)"
170,TPAC,171,2.592832,223,7.689088,"(-1.896, -1.768)","(-5.623, -5.244)"
171,TPAC,172,3.308096,246,10.103104,"(-1.346, -3.022)","(-4.109, -9.23)"
172,TPAC,173,1.922272,310,8.002016,"(1.236, -1.473)","(5.144, -6.13)"
